feature	chromosome	start	end	SLX-17922.D701tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D701tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17921.D711tp_D502tp.H5J55BBXY.s_8.r_1	SLX-17921.D711tp_D503tp.H5J55BBXY.s_8.r_1
1:230500001-231000000	1	230500001	231000000	1.081	0.911	1.235	1.214
1:231000001-231500000	1	231000001	231500000	1.008	0.93	1.208	1.366
1:231500001-232000000	1	231500001	232000000	1.021	1.093	1.233	1.394
1:232000001-232500000	1	232000001	232500000	1.086	1.034	1.338	1.474
1:232500001-233000000	1	232500001	233000000	1.072	1.031	1.196	1.268
1:233500001-234000000	1	233500001	234000000	1.045	0.926	1.328	1.457
1:234000001-234500000	1	234000001	234500000	1.031	0.948	1.326	1.403
1:234500001-235000000	1	234500001	235000000	1.091	0.95	1.2	1.249
1:235000001-235500000	1	235000001	235500000	0.967	0.97	1.237	1.126
1:236000001-236500000	1	236000001	236500000	1.083	0.988	1.346	1.361
1:236500001-237000000	1	236500001	237000000	1.023	0.926	1.252	1.207
1:237000001-237500000	1	237000001	237500000	1.027	0.988	1.331	1.265
1:238000001-238500000	1	238000001	238500000	1.019	0.879	1.225	1.368
1:238500001-239000000	1	238500001	239000000	0.936	0.967	1.387	1.339
1:239000001-239500000	1	239000001	239500000	1.006	1.004	1.343	1.345
1:239500001-240000000	1	239500001	240000000	1.033	1.087	1.31	1.399
1:240000001-240500000	1	240000001	240500000	0.99	0.954	1.219	1.451
1:240500001-241000000	1	240500001	241000000	0.932	0.956	1.281	1.338
1:241000001-241500000	1	241000001	241500000	1.023	0.991	1.349	1.347
1:241500001-242000000	1	241500001	242000000	1.006	0.993	1.155	1.287
1:242000001-242500000	1	242000001	242500000	0.981	0.938	1.272	1.367
1:243500001-244000000	1	243500001	244000000	1.048	1.019	1.181	1.385
1:244000001-244500000	1	244000001	244500000	1.018	0.976	1.219	1.391
1:244500001-245000000	1	244500001	245000000	0.965	0.959	1.243	1.306
1:245000001-245500000	1	245000001	245500000	0.971	1	1.375	1.497
1:245500001-246000000	1	245500001	246000000	1.023	1.035	1.353	1.367
1:246000001-246500000	1	246000001	246500000	0.965	0.962	1.242	1.309
1:246500001-247000000	1	246500001	247000000	0.937	0.941	1.043	1.189
1:247000001-247500000	1	247000001	247500000	0.943	0.978	1.303	1.298
1:247500001-248000000	1	247500001	248000000	1.111	0.967	1.347	1.49
2:1-500000	2	1	500000	1.101	0.943	1.049	1.062
2:1500001-2000000	2	1500001	2000000	1.088	1.118	1.032	1.013
2:2000001-2500000	2	2000001	2500000	1.001	0.916	1.013	1.164
2:2500001-3000000	2	2500001	3000000	0.937	0.981	1.068	1.007
2:3000001-3500000	2	3000001	3500000	0.982	1.016	0.959	1.049
2:3500001-4000000	2	3500001	4000000	0.987	1.028	1.179	1.084
2:4000001-4500000	2	4000001	4500000	0.997	0.961	0.969	0.977
2:4500001-5000000	2	4500001	5000000	1.051	0.98	0.964	0.998
2:5000001-5500000	2	5000001	5500000	0.979	0.913	0.907	0.975
2:5500001-6000000	2	5500001	6000000	0.973	1.002	1.128	1.066
2:6000001-6500000	2	6000001	6500000	0.972	0.96	1.001	1.057
2:6500001-7000000	2	6500001	7000000	1.021	0.937	0.963	1.086
2:7000001-7500000	2	7000001	7500000	1.056	1.032	1.011	1.044
2:7500001-8000000	2	7500001	8000000	1.092	1.002	1.017	1.029
2:8000001-8500000	2	8000001	8500000	0.997	0.945	0.934	0.947
2:8500001-9000000	2	8500001	9000000	0.971	0.941	0.898	0.904
2:9000001-9500000	2	9000001	9500000	0.91	0.979	0.934	0.931
2:9500001-10000000	2	9500001	10000000	0.905	1.04	0.97	0.995
2:10000001-10500000	2	10000001	10500000	0.955	1.002	0.946	0.895
2:10500001-11000000	2	10500001	11000000	0.975	0.985	1.058	1.059
2:11000001-11500000	2	11000001	11500000	0.994	0.937	1.024	0.974
2:11500001-12000000	2	11500001	12000000	0.979	1.017	1.018	0.99
2:12000001-12500000	2	12000001	12500000	0.99	0.986	1.066	0.983
2:12500001-13000000	2	12500001	13000000	0.986	0.999	1.005	1.033
2:13000001-13500000	2	13000001	13500000	0.96	0.917	1.007	1
2:13500001-14000000	2	13500001	14000000	0.985	0.992	1.005	1.03
2:14000001-14500000	2	14000001	14500000	1.114	0.98	1.069	1.03
2:14500001-15000000	2	14500001	15000000	0.972	0.991	1.067	0.988
2:15000001-15500000	2	15000001	15500000	1.024	1.098	0.933	1.049
2:15500001-16000000	2	15500001	16000000	0.97	0.937	0.941	1.077
2:16500001-17000000	2	16500001	17000000	0.958	1.024	1.016	1.091
2:17000001-17500000	2	17000001	17500000	0.916	1.053	1.057	1.02
2:17500001-18000000	2	17500001	18000000	0.982	1.036	1.007	0.997
2:18000001-18500000	2	18000001	18500000	1.007	0.999	0.944	1.056
2:18500001-19000000	2	18500001	19000000	1.082	1.012	1.039	1.099
2:19000001-19500000	2	19000001	19500000	1.08	1.005	1.004	1.103
2:19500001-20000000	2	19500001	20000000	1.089	0.937	1.032	1.043
2:20000001-20500000	2	20000001	20500000	0.992	0.93	0.921	0.963
2:20500001-21000000	2	20500001	21000000	0.925	1.014	1.021	1.03
2:21000001-21500000	2	21000001	21500000	1.029	1.022	1.051	1.093
2:21500001-22000000	2	21500001	22000000	1.09	0.925	1.125	1.039
2:22500001-23000000	2	22500001	23000000	1.097	1.003	1.062	1.111
2:23000001-23500000	2	23000001	23500000	0.999	1.019	1.09	1.173
2:23500001-24000000	2	23500001	24000000	1.043	0.993	0.982	0.965
2:24000001-24500000	2	24000001	24500000	0.953	0.925	0.935	0.946
2:25000001-25500000	2	25000001	25500000	1.027	0.948	1.111	1.009
2:25500001-26000000	2	25500001	26000000	0.988	1.036	1.047	1.048
2:26000001-26500000	2	26000001	26500000	1.032	1.016	0.968	0.922
2:26500001-27000000	2	26500001	27000000	1.058	1.036	1.021	1.035
2:27000001-27500000	2	27000001	27500000	0.96	0.967	0.977	1.049
2:27500001-28000000	2	27500001	28000000	0.977	0.926	1.045	1.083
2:28000001-28500000	2	28000001	28500000	0.965	0.99	0.921	1.036
2:28500001-29000000	2	28500001	29000000	1.039	0.964	1.038	0.916
2:29000001-29500000	2	29000001	29500000	0.936	0.98	1.027	1.142
2:29500001-30000000	2	29500001	30000000	0.97	1.062	1.074	1.095
2:30000001-30500000	2	30000001	30500000	0.943	0.982	0.998	1.075
2:30500001-31000000	2	30500001	31000000	1.012	1.081	1.056	1.045
2:31000001-31500000	2	31000001	31500000	1.012	1.014	0.922	1.076
2:31500001-32000000	2	31500001	32000000	0.953	1.044	1.015	1.053
2:32000001-32500000	2	32000001	32500000	1.006	0.961	0.883	0.954
2:33000001-33500000	2	33000001	33500000	1.013	1.105	0.935	0.95
2:34000001-34500000	2	34000001	34500000	0.937	0.992	1.022	1.051
2:34500001-35000000	2	34500001	35000000	1.011	1.029	1.047	1.106
2:35000001-35500000	2	35000001	35500000	1.012	1.02	1.006	1.072
2:35500001-36000000	2	35500001	36000000	0.994	1.07	1.036	1.038
2:36500001-37000000	2	36500001	37000000	1.008	0.932	1.016	0.903
2:37000001-37500000	2	37000001	37500000	0.978	0.924	0.912	0.883
2:37500001-38000000	2	37500001	38000000	0.974	0.956	0.957	1.04
2:38000001-38500000	2	38000001	38500000	1.06	1.007	1.016	1.054
2:38500001-39000000	2	38500001	39000000	0.928	0.924	0.919	0.927
2:39000001-39500000	2	39000001	39500000	0.988	0.879	0.924	1.051
2:39500001-40000000	2	39500001	40000000	1.024	1.085	1.039	1.071
2:40000001-40500000	2	40000001	40500000	1.042	1.082	1.03	1.058
2:41000001-41500000	2	41000001	41500000	1.046	0.96	1.015	0.989
2:41500001-42000000	2	41500001	42000000	0.988	1.018	1.049	1.145
2:42000001-42500000	2	42000001	42500000	1.026	0.969	0.966	0.986
2:42500001-43000000	2	42500001	43000000	1.098	1.027	1.063	1.083
2:43000001-43500000	2	43000001	43500000	0.96	0.948	0.917	0.914
2:43500001-44000000	2	43500001	44000000	0.934	1.009	0.988	1.046
2:44000001-44500000	2	44000001	44500000	0.983	1.04	1.048	0.999
2:44500001-45000000	2	44500001	45000000	1.068	1.022	1.013	1.019
2:45000001-45500000	2	45000001	45500000	0.984	1.022	1.09	1.008
2:45500001-46000000	2	45500001	46000000	0.932	0.96	0.95	0.958
2:46000001-46500000	2	46000001	46500000	1.029	0.974	0.98	1.013
2:46500001-47000000	2	46500001	47000000	0.961	0.922	0.928	0.957
2:47000001-47500000	2	47000001	47500000	0.932	1.042	1.005	1.101
2:47500001-48000000	2	47500001	48000000	1.098	0.981	1.018	1.174
2:48000001-48500000	2	48000001	48500000	0.949	1.043	1.041	0.935
2:48500001-49000000	2	48500001	49000000	0.984	1.035	1.042	1.079
2:49500001-50000000	2	49500001	50000000	0.93	0.992	1.044	0.951
2:50000001-50500000	2	50000001	50500000	0.962	1.025	1.091	1.082
2:51000001-51500000	2	51000001	51500000	1.015	0.998	1.002	1.013
2:51500001-52000000	2	51500001	52000000	1.007	1	1.058	1.03
2:52000001-52500000	2	52000001	52500000	0.998	0.908	0.985	1.069
2:52500001-53000000	2	52500001	53000000	0.97	0.91	0.92	0.962
2:53000001-53500000	2	53000001	53500000	0.946	0.965	1.144	1.017
2:53500001-54000000	2	53500001	54000000	0.969	0.938	0.893	1.01
2:54500001-55000000	2	54500001	55000000	0.979	1.002	1.027	0.998
2:55000001-55500000	2	55000001	55500000	0.899	1.021	0.809	1.071
2:55500001-56000000	2	55500001	56000000	0.934	0.974	1.113	1.017
2:56000001-56500000	2	56000001	56500000	1.033	0.943	1.043	1.142
2:56500001-57000000	2	56500001	57000000	1.002	1.025	1.086	1.142
2:57000001-57500000	2	57000001	57500000	0.952	0.966	0.905	1.023
2:58000001-58500000	2	58000001	58500000	1.02	1.036	1.004	1.041
2:58500001-59000000	2	58500001	59000000	0.998	1.056	1.047	1.15
2:59000001-59500000	2	59000001	59500000	1.009	1.003	1.019	0.962
2:59500001-60000000	2	59500001	60000000	1.039	1.061	1.082	1.145
2:60000001-60500000	2	60000001	60500000	1.038	1.127	1.232	1.129
2:60500001-61000000	2	60500001	61000000	0.92	0.953	1.02	1.037
2:61000001-61500000	2	61000001	61500000	0.956	0.925	0.883	0.946
2:61500001-62000000	2	61500001	62000000	0.969	0.927	0.941	0.971
2:62000001-62500000	2	62000001	62500000	0.934	0.906	0.978	1.064
2:62500001-63000000	2	62500001	63000000	1.078	1.054	1.135	1.061
2:63000001-63500000	2	63000001	63500000	0.999	1.042	0.96	1.062
2:63500001-64000000	2	63500001	64000000	0.982	0.997	1.064	1.157
2:64000001-64500000	2	64000001	64500000	0.935	0.99	0.955	1.079
2:64500001-65000000	2	64500001	65000000	0.997	0.996	0.868	1.028
2:65000001-65500000	2	65000001	65500000	1.021	1.009	1.004	0.911
2:65500001-66000000	2	65500001	66000000	1.013	0.986	1.135	1.138
2:66000001-66500000	2	66000001	66500000	1.073	1.043	1.081	1.237
2:66500001-67000000	2	66500001	67000000	0.987	1.067	1.106	1.183
2:67000001-67500000	2	67000001	67500000	1.009	1.069	1.136	1.104
2:68000001-68500000	2	68000001	68500000	0.975	0.993	0.944	0.982
2:68500001-69000000	2	68500001	69000000	1.016	0.982	0.959	1.036
2:69000001-69500000	2	69000001	69500000	1.028	0.939	1.084	1.086
2:69500001-70000000	2	69500001	70000000	0.931	0.941	0.901	1.032
2:70000001-70500000	2	70000001	70500000	0.843	0.958	1	0.977
2:70500001-71000000	2	70500001	71000000	0.981	1.01	0.989	1.132
2:71000001-71500000	2	71000001	71500000	1.048	1.036	1.119	1.031
2:71500001-72000000	2	71500001	72000000	0.997	0.983	0.975	1.036
2:72000001-72500000	2	72000001	72500000	1.054	1.034	1.113	0.938
2:72500001-73000000	2	72500001	73000000	1.029	1.009	0.975	1.042
2:73000001-73500000	2	73000001	73500000	1.046	1.01	1.018	1.055
2:73500001-74000000	2	73500001	74000000	0.984	0.987	0.98	1.028
2:74000001-74500000	2	74000001	74500000	0.936	0.936	0.924	0.958
2:74500001-75000000	2	74500001	75000000	0.998	0.91	0.965	0.968
2:75500001-76000000	2	75500001	76000000	0.992	0.947	1.027	1.077
2:76000001-76500000	2	76000001	76500000	0.98	0.961	1.082	1.059
2:76500001-77000000	2	76500001	77000000	1.008	1.052	1.102	1.022
2:77000001-77500000	2	77000001	77500000	1.004	0.993	1.047	1.052
2:77500001-78000000	2	77500001	78000000	0.89	0.951	0.953	0.932
2:78000001-78500000	2	78000001	78500000	1.011	0.996	0.989	0.941
2:78500001-79000000	2	78500001	79000000	0.986	0.936	1.037	1.01
2:79000001-79500000	2	79000001	79500000	1.046	0.97	1.05	1.041
2:79500001-80000000	2	79500001	80000000	0.974	0.957	1.038	1.029
2:80000001-80500000	2	80000001	80500000	1.029	1.039	0.987	0.967
2:80500001-81000000	2	80500001	81000000	0.936	0.988	1.011	1.041
2:81000001-81500000	2	81000001	81500000	0.963	1.006	0.946	1.006
2:82000001-82500000	2	82000001	82500000	0.955	1.053	1.003	1.009
2:83000001-83500000	2	83000001	83500000	1.074	1.018	1.022	0.996
2:83500001-84000000	2	83500001	84000000	1.054	0.995	1.004	0.954
2:84000001-84500000	2	84000001	84500000	0.992	1.028	1.025	1.116
2:84500001-85000000	2	84500001	85000000	0.983	1.041	0.976	1.007
2:85500001-86000000	2	85500001	86000000	0.953	0.948	0.916	1.022
2:86000001-86500000	2	86000001	86500000	0.932	0.953	0.948	1.039
2:88000001-88500000	2	88000001	88500000	0.98	1.015	0.986	1.024
2:95000001-95500000	2	95000001	95500000	1.016	1.075	1.088	1.146
2:96000001-96500000	2	96000001	96500000	1.036	0.989	1.08	1.068
2:96500001-97000000	2	96500001	97000000	1.009	1.015	1.009	1.121
2:98000001-98500000	2	98000001	98500000	1.075	1.009	1.071	1.025
2:98500001-99000000	2	98500001	99000000	0.939	0.995	0.887	0.982
2:99000001-99500000	2	99000001	99500000	0.944	1.007	0.961	1.033
2:99500001-100000000	2	99500001	100000000	1.059	1.023	1.027	1.012
2:100000001-100500000	2	100000001	100500000	0.974	1.066	1.063	1.019
2:100500001-101000000	2	100500001	101000000	0.994	1.011	0.969	1.03
2:101000001-101500000	2	101000001	101500000	0.915	0.997	1.019	0.974
2:101500001-102000000	2	101500001	102000000	0.982	0.925	0.986	1.029
2:103000001-103500000	2	103000001	103500000	1.018	0.976	1.027	1.07
2:103500001-104000000	2	103500001	104000000	1.123	0.878	1.032	1.017
2:104000001-104500000	2	104000001	104500000	1.048	1.012	1.006	0.973
2:104500001-105000000	2	104500001	105000000	0.997	0.916	1.028	1.049
2:105000001-105500000	2	105000001	105500000	0.992	1.022	1.013	0.911
2:105500001-106000000	2	105500001	106000000	0.924	1.022	0.978	1.023
2:106500001-107000000	2	106500001	107000000	0.968	0.984	1.023	1.005
2:107000001-107500000	2	107000001	107500000	0.999	0.998	0.992	1.024
2:107500001-108000000	2	107500001	108000000	0.979	1.138	1.071	0.963
2:108000001-108500000	2	108000001	108500000	1.043	1.01	1.005	1.112
2:109000001-109500000	2	109000001	109500000	1.009	1.027	0.914	1.157
2:112500001-113000000	2	112500001	113000000	0.957	1.003	0.917	0.972
2:114000001-114500000	2	114000001	114500000	1.089	1.012	1.092	1.014
2:114500001-115000000	2	114500001	115000000	0.942	1.001	0.955	0.949
2:115000001-115500000	2	115000001	115500000	0.965	0.951	0.977	1.051
2:115500001-116000000	2	115500001	116000000	0.931	0.952	0.971	0.883
2:116000001-116500000	2	116000001	116500000	0.973	1.031	1.007	1.022
2:117500001-118000000	2	117500001	118000000	1.036	1.053	1.131	1.07
2:118000001-118500000	2	118000001	118500000	1.074	1.073	1.029	0.974
2:118500001-119000000	2	118500001	119000000	1.061	1.028	1.111	1.074
2:119000001-119500000	2	119000001	119500000	1.028	1.019	0.99	0.927
2:119500001-120000000	2	119500001	120000000	1.006	0.915	0.977	1.075
2:120500001-121000000	2	120500001	121000000	1.065	0.924	0.938	1.012
2:121500001-122000000	2	121500001	122000000	0.984	1.032	1.022	1.082
2:122000001-122500000	2	122000001	122500000	0.993	1.051	1.03	1.069
2:122500001-123000000	2	122500001	123000000	0.998	0.984	0.958	1.034
2:123000001-123500000	2	123000001	123500000	1.055	1.066	0.981	1.05
2:123500001-124000000	2	123500001	124000000	0.967	1.075	1.007	0.979
2:124000001-124500000	2	124000001	124500000	0.981	1.037	0.943	1.015
2:125000001-125500000	2	125000001	125500000	1.073	1.019	1.046	1.034
2:126000001-126500000	2	126000001	126500000	0.994	0.963	0.965	1.068
2:126500001-127000000	2	126500001	127000000	0.943	0.949	0.961	0.981
2:127000001-127500000	2	127000001	127500000	1.019	1.064	0.896	1.018
2:127500001-128000000	2	127500001	128000000	0.945	0.927	0.972	0.971
2:128000001-128500000	2	128000001	128500000	1.002	1.002	0.964	0.967
2:128500001-129000000	2	128500001	129000000	1.046	1.003	1.008	1.063
2:129500001-130000000	2	129500001	130000000	1.126	1.011	1.109	1.036
2:132500001-133000000	2	132500001	133000000	1.011	0.968	0.99	0.978
2:133000001-133500000	2	133000001	133500000	1.012	0.926	1.019	0.985
2:133500001-134000000	2	133500001	134000000	0.938	1.058	1.007	1.077
2:134000001-134500000	2	134000001	134500000	1.012	0.996	0.924	0.973
2:134500001-135000000	2	134500001	135000000	1.035	1.108	1.107	1.014
2:135000001-135500000	2	135000001	135500000	1.01	1.148	1.073	0.991
2:135500001-136000000	2	135500001	136000000	0.958	1.017	0.954	0.93
2:136000001-136500000	2	136000001	136500000	1.003	0.951	0.978	0.964
2:136500001-137000000	2	136500001	137000000	1.022	0.954	1.166	1.02
2:137000001-137500000	2	137000001	137500000	1.031	1.039	1.204	0.978
2:137500001-138000000	2	137500001	138000000	0.984	1.083	0.957	0.961
2:138000001-138500000	2	138000001	138500000	1.021	1.076	0.97	0.927
2:138500001-139000000	2	138500001	139000000	0.942	0.964	1.019	0.938
2:139000001-139500000	2	139000001	139500000	1.027	0.964	0.991	1.009
2:139500001-140000000	2	139500001	140000000	1.029	0.965	0.988	0.939
2:140500001-141000000	2	140500001	141000000	1.027	0.985	0.963	1.033
2:141000001-141500000	2	141000001	141500000	0.993	1.011	0.936	0.951
2:141500001-142000000	2	141500001	142000000	0.985	1.01	0.928	1.046
2:142000001-142500000	2	142000001	142500000	1.09	1.016	1.078	0.978
2:142500001-143000000	2	142500001	143000000	0.981	0.995	1.099	1.008
2:143500001-144000000	2	143500001	144000000	1.002	1.017	1.059	0.941
2:144000001-144500000	2	144000001	144500000	1.02	1.088	0.946	1.002
2:144500001-145000000	2	144500001	145000000	0.945	1.016	0.995	0.964
2:145000001-145500000	2	145000001	145500000	1.063	1.085	0.988	1.169
2:145500001-146000000	2	145500001	146000000	1.027	1.109	0.999	1.055
2:146000001-146500000	2	146000001	146500000	0.971	1.006	1.033	1
2:146500001-147000000	2	146500001	147000000	0.97	0.94	0.996	1.009
2:147500001-148000000	2	147500001	148000000	1.006	1.097	1.02	1.082
2:148000001-148500000	2	148000001	148500000	1.011	1.022	1.088	1.002
2:149000001-149500000	2	149000001	149500000	1.059	1.074	0.99	1.001
2:149500001-150000000	2	149500001	150000000	1.023	1.038	1.011	1.189
2:150000001-150500000	2	150000001	150500000	0.924	0.937	1.012	0.951
2:150500001-151000000	2	150500001	151000000	1.02	0.971	1.1	1.008
2:151000001-151500000	2	151000001	151500000	1.029	0.951	0.965	1.064
2:151500001-152000000	2	151500001	152000000	0.981	1.048	1.021	1.031
2:152000001-152500000	2	152000001	152500000	1.013	0.931	0.985	0.885
2:152500001-153000000	2	152500001	153000000	0.906	0.972	0.901	0.962
2:153000001-153500000	2	153000001	153500000	0.967	0.994	0.987	1.026
2:153500001-154000000	2	153500001	154000000	1.03	0.914	0.995	1.009
2:154000001-154500000	2	154000001	154500000	1.031	0.97	1.016	1.12
2:154500001-155000000	2	154500001	155000000	0.989	0.965	1	0.981
2:155500001-156000000	2	155500001	156000000	0.931	0.957	1.009	0.946
2:156000001-156500000	2	156000001	156500000	0.951	0.955	0.941	0.919
2:157000001-157500000	2	157000001	157500000	0.974	0.955	1	0.869
2:157500001-158000000	2	157500001	158000000	0.949	1.042	1.001	1.059
2:158000001-158500000	2	158000001	158500000	1.033	1.06	1.048	1.08
2:158500001-159000000	2	158500001	159000000	1.01	1.034	0.986	1.055
2:159000001-159500000	2	159000001	159500000	0.975	0.905	0.982	0.971
2:159500001-160000000	2	159500001	160000000	0.947	0.982	0.967	1.025
2:160000001-160500000	2	160000001	160500000	0.993	1.045	0.945	1.036
2:160500001-161000000	2	160500001	161000000	0.963	1.05	1.047	1.032
2:161000001-161500000	2	161000001	161500000	0.982	1.022	1.017	1.014
2:161500001-162000000	2	161500001	162000000	0.918	1.038	1.098	1.05
2:162000001-162500000	2	162000001	162500000	0.979	1.092	1.087	1.12
2:163000001-163500000	2	163000001	163500000	0.962	0.963	1.033	1.048
2:163500001-164000000	2	163500001	164000000	1.023	1.028	1.067	1.084
2:164500001-165000000	2	164500001	165000000	0.96	0.922	0.941	0.991
2:165000001-165500000	2	165000001	165500000	0.998	1.131	1.09	1.038
2:165500001-166000000	2	165500001	166000000	1.017	1	0.991	1.015
2:166500001-167000000	2	166500001	167000000	1.031	1.064	1.001	1.006
2:167500001-168000000	2	167500001	168000000	1.115	1.062	1.094	1.093
2:168000001-168500000	2	168000001	168500000	0.934	0.998	0.926	1.046
2:169000001-169500000	2	169000001	169500000	1.091	1.002	0.991	1.102
2:169500001-170000000	2	169500001	170000000	0.862	0.885	0.885	0.947
2:170000001-170500000	2	170000001	170500000	1.003	0.993	0.982	0.991
2:170500001-171000000	2	170500001	171000000	1.014	1.05	0.993	1.048
2:171000001-171500000	2	171000001	171500000	0.942	0.975	0.994	1.018
2:171500001-172000000	2	171500001	172000000	0.964	1.034	0.924	0.827
2:172000001-172500000	2	172000001	172500000	1.019	0.997	1.062	1.058
2:172500001-173000000	2	172500001	173000000	1.039	0.967	0.967	1.01
2:173000001-173500000	2	173000001	173500000	0.928	0.965	0.966	0.963
2:173500001-174000000	2	173500001	174000000	1.088	0.984	0.976	0.977
2:174000001-174500000	2	174000001	174500000	0.915	1.005	0.885	0.939
2:174500001-175000000	2	174500001	175000000	1.009	1.006	1.041	1.037
2:175000001-175500000	2	175000001	175500000	1	1.022	0.986	0.958
2:175500001-176000000	2	175500001	176000000	1.066	1.126	1.039	1.148
2:176000001-176500000	2	176000001	176500000	1.061	1.005	0.919	1.079
2:176500001-177000000	2	176500001	177000000	1.053	1.107	0.949	1.035
2:177000001-177500000	2	177000001	177500000	0.979	0.981	0.996	0.982
2:177500001-178000000	2	177500001	178000000	0.974	0.972	1.028	0.998
2:178000001-178500000	2	178000001	178500000	0.953	0.979	0.98	0.94
2:179000001-179500000	2	179000001	179500000	1.023	0.985	1.043	1.001
2:180000001-180500000	2	180000001	180500000	0.93	1.006	0.985	1.045
2:180500001-181000000	2	180500001	181000000	1.073	1.114	1.026	0.984
2:181000001-181500000	2	181000001	181500000	0.98	0.978	0.995	1.019
2:181500001-182000000	2	181500001	182000000	1.019	1.107	1.001	1.041
2:182000001-182500000	2	182000001	182500000	1.057	1.071	1.073	0.969
2:182500001-183000000	2	182500001	183000000	1.006	1.109	1.112	0.97
2:183000001-183500000	2	183000001	183500000	0.974	1.012	0.962	1.101
2:183500001-184000000	2	183500001	184000000	0.996	0.952	0.851	0.906
2:184000001-184500000	2	184000001	184500000	0.904	0.949	0.989	1.105
2:184500001-185000000	2	184500001	185000000	1.058	1.012	0.995	0.958
2:185000001-185500000	2	185000001	185500000	0.955	0.945	0.946	0.918
2:185500001-186000000	2	185500001	186000000	0.987	1.003	1.106	0.924
2:186000001-186500000	2	186000001	186500000	1.037	1.098	0.965	0.981
2:186500001-187000000	2	186500001	187000000	0.994	0.978	1	0.905
