feature	chromosome	start	end	SLX-17922.D704tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17921.D701tp_D501tp.H5J55BBXY.s_8.r_1	SLX-16150.D704tp_D507tp.HC22VBBXY.s_3.r_1
8:143000001-143500000	8	143000001	143500000	1.142	1.039	0.978
8:143500001-144000000	8	143500001	144000000	1.059	0.976	0.949
8:144000001-144500000	8	144000001	144500000	1.123	1.029	0.93
8:144500001-145000000	8	144500001	145000000	1.259	1.01	0.977
9:500001-1000000	9	500001	1000000	0.844	1.058	0.956
9:1000001-1500000	9	1000001	1500000	0.796	1.045	0.99
9:1500001-2000000	9	1500001	2000000	0.858	1.113	1.064
9:2000001-2500000	9	2000001	2500000	0.814	0.995	0.918
9:2500001-3000000	9	2500001	3000000	0.856	0.902	1.069
9:3000001-3500000	9	3000001	3500000	0.876	0.982	0.973
9:3500001-4000000	9	3500001	4000000	0.92	0.963	0.957
9:4000001-4500000	9	4000001	4500000	0.806	0.956	0.977
9:4500001-5000000	9	4500001	5000000	0.828	0.994	0.986
9:5500001-6000000	9	5500001	6000000	0.785	1.029	0.965
9:6000001-6500000	9	6000001	6500000	0.798	1.014	0.958
9:6500001-7000000	9	6500001	7000000	0.885	0.937	0.857
9:7000001-7500000	9	7000001	7500000	0.876	1.04	1.057
9:7500001-8000000	9	7500001	8000000	0.835	1.091	1.035
9:8000001-8500000	9	8000001	8500000	0.787	0.917	1.103
9:8500001-9000000	9	8500001	9000000	0.829	1.077	1.015
9:9000001-9500000	9	9000001	9500000	0.784	1.057	0.978
9:10000001-10500000	9	10000001	10500000	0.865	0.926	1.04
9:10500001-11000000	9	10500001	11000000	0.828	1.049	0.997
9:11000001-11500000	9	11000001	11500000	0.788	0.971	1.048
9:11500001-12000000	9	11500001	12000000	0.888	1.006	0.985
9:12000001-12500000	9	12000001	12500000	0.8	1.025	0.891
9:12500001-13000000	9	12500001	13000000	0.861	0.959	0.957
9:13000001-13500000	9	13000001	13500000	0.822	1.038	1.007
9:13500001-14000000	9	13500001	14000000	0.791	1.057	1.03
9:14000001-14500000	9	14000001	14500000	0.818	1.004	0.997
9:14500001-15000000	9	14500001	15000000	0.791	1.009	1.018
9:15000001-15500000	9	15000001	15500000	0.802	0.979	0.932
9:16000001-16500000	9	16000001	16500000	0.903	1.023	1.051
9:16500001-17000000	9	16500001	17000000	0.847	0.943	1.019
9:17000001-17500000	9	17000001	17500000	0.814	0.918	1.036
9:17500001-18000000	9	17500001	18000000	0.887	1.023	1.038
9:18500001-19000000	9	18500001	19000000	0.799	1.025	1.067
9:19000001-19500000	9	19000001	19500000	0.762	1.025	1.048
9:19500001-20000000	9	19500001	20000000	0.936	1.025	1.033
9:20000001-20500000	9	20000001	20500000	0.849	1.002	1.083
9:20500001-21000000	9	20500001	21000000	0.78	1.002	1.028
9:21000001-21500000	9	21000001	21500000	0.867	1.031	0.966
9:21500001-22000000	9	21500001	22000000	0.839	1.117	0.941
9:22000001-22500000	9	22000001	22500000	0.811	0.972	0.974
9:22500001-23000000	9	22500001	23000000	0.939	0.955	0.986
9:23000001-23500000	9	23000001	23500000	0.777	0.963	0.924
9:23500001-24000000	9	23500001	24000000	0.777	1.049	0.981
9:24000001-24500000	9	24000001	24500000	0.797	0.96	0.938
9:24500001-25000000	9	24500001	25000000	0.862	0.918	1.075
9:25000001-25500000	9	25000001	25500000	0.849	0.953	0.903
9:25500001-26000000	9	25500001	26000000	0.841	0.948	0.967
9:26000001-26500000	9	26000001	26500000	0.783	0.988	1.062
9:26500001-27000000	9	26500001	27000000	0.805	0.949	1.031
9:27000001-27500000	9	27000001	27500000	0.861	1.108	1.017
9:27500001-28000000	9	27500001	28000000	0.878	0.898	0.951
9:28000001-28500000	9	28000001	28500000	0.917	0.996	1.014
9:28500001-29000000	9	28500001	29000000	0.828	1.064	1.012
9:29000001-29500000	9	29000001	29500000	0.791	0.955	0.998
9:29500001-30000000	9	29500001	30000000	0.783	0.975	1.055
9:30000001-30500000	9	30000001	30500000	0.817	0.912	0.984
9:30500001-31000000	9	30500001	31000000	0.818	1.014	0.931
9:31500001-32000000	9	31500001	32000000	0.833	1.096	1.001
9:32000001-32500000	9	32000001	32500000	0.948	1.011	0.975
9:32500001-33000000	9	32500001	33000000	0.948	1.007	0.94
9:33000001-33500000	9	33000001	33500000	0.871	1.004	0.943
9:34000001-34500000	9	34000001	34500000	0.804	1.019	0.925
9:35000001-35500000	9	35000001	35500000	0.731	0.921	0.961
9:35500001-36000000	9	35500001	36000000	0.726	0.971	0.862
9:36500001-37000000	9	36500001	37000000	0.849	1.089	0.948
9:37000001-37500000	9	37000001	37500000	0.746	0.934	0.873
9:37500001-38000000	9	37500001	38000000	0.826	1.107	1.037
9:38000001-38500000	9	38000001	38500000	0.838	1.037	1.018
9:68500001-69000000	9	68500001	69000000	0.994	1.02	0.995
9:69000001-69500000	9	69000001	69500000	0.951	1.173	0.942
9:69500001-70000000	9	69500001	70000000	1.07	0.935	0.995
9:70000001-70500000	9	70000001	70500000	1.011	0.945	0.946
9:70500001-71000000	9	70500001	71000000	1.03	0.917	1.047
9:71000001-71500000	9	71000001	71500000	1.079	0.96	0.989
9:71500001-72000000	9	71500001	72000000	0.975	1.011	0.982
9:72000001-72500000	9	72000001	72500000	1.064	1.054	0.901
9:73000001-73500000	9	73000001	73500000	0.995	0.924	0.972
9:73500001-74000000	9	73500001	74000000	0.985	1.013	0.989
9:74000001-74500000	9	74000001	74500000	0.978	1.007	0.961
9:74500001-75000000	9	74500001	75000000	0.999	1.037	0.976
9:75000001-75500000	9	75000001	75500000	0.963	1.109	0.947
9:75500001-76000000	9	75500001	76000000	0.979	0.972	0.99
9:76000001-76500000	9	76000001	76500000	0.998	0.933	0.966
9:76500001-77000000	9	76500001	77000000	0.892	0.945	1.004
9:77000001-77500000	9	77000001	77500000	0.999	1.049	0.96
9:77500001-78000000	9	77500001	78000000	0.92	1.018	1.035
9:78000001-78500000	9	78000001	78500000	0.992	1.154	0.987
9:79000001-79500000	9	79000001	79500000	1.104	1.109	1.121
9:80000001-80500000	9	80000001	80500000	1.012	0.881	0.987
9:81000001-81500000	9	81000001	81500000	1.017	0.997	1.127
9:82500001-83000000	9	82500001	83000000	0.993	1.051	0.972
9:83000001-83500000	9	83000001	83500000	0.961	1.061	0.959
9:83500001-84000000	9	83500001	84000000	0.837	0.971	0.848
9:84000001-84500000	9	84000001	84500000	0.965	0.908	1.005
9:84500001-85000000	9	84500001	85000000	0.982	0.999	0.922
9:85000001-85500000	9	85000001	85500000	0.986	1.04	1.087
9:85500001-86000000	9	85500001	86000000	1.042	0.914	0.997
9:86000001-86500000	9	86000001	86500000	1.004	0.926	0.991
9:86500001-87000000	9	86500001	87000000	0.959	1.056	1
9:87000001-87500000	9	87000001	87500000	0.955	1.041	1.026
9:87500001-88000000	9	87500001	88000000	1.025	0.955	1.071
9:88000001-88500000	9	88000001	88500000	1.096	1.004	1.067
9:88500001-89000000	9	88500001	89000000	0.992	0.931	1.01
9:89000001-89500000	9	89000001	89500000	0.966	0.95	0.987
9:89500001-90000000	9	89500001	90000000	0.907	1.036	0.995
9:90000001-90500000	9	90000001	90500000	1.042	1.055	1.043
9:90500001-91000000	9	90500001	91000000	1.024	1.02	1.052
9:91000001-91500000	9	91000001	91500000	0.932	0.965	0.974
9:91500001-92000000	9	91500001	92000000	1.054	0.928	1.006
9:93000001-93500000	9	93000001	93500000	1.042	0.9	0.918
9:93500001-94000000	9	93500001	94000000	1.016	0.911	0.919
9:94500001-95000000	9	94500001	95000000	1.095	1.029	1.13
9:95000001-95500000	9	95000001	95500000	0.969	1.071	0.975
9:96000001-96500000	9	96000001	96500000	1.035	0.868	1.037
9:97500001-98000000	9	97500001	98000000	1.01	0.917	0.965
9:98000001-98500000	9	98000001	98500000	1.033	1.009	1.058
9:98500001-99000000	9	98500001	99000000	0.954	1.048	1.018
9:99000001-99500000	9	99000001	99500000	1.013	1.051	0.981
9:99500001-100000000	9	99500001	100000000	1.061	1.084	1.001
9:100000001-100500000	9	100000001	100500000	0.975	1.023	0.986
9:100500001-101000000	9	100500001	101000000	1.011	0.978	1.033
9:101000001-101500000	9	101000001	101500000	1.032	0.967	1.085
9:101500001-102000000	9	101500001	102000000	0.971	1.069	1.064
9:102000001-102500000	9	102000001	102500000	0.874	0.907	1.109
9:102500001-103000000	9	102500001	103000000	0.991	0.994	1.013
9:103000001-103500000	9	103000001	103500000	0.968	0.908	0.899
9:103500001-104000000	9	103500001	104000000	1.061	1.034	0.925
9:104000001-104500000	9	104000001	104500000	1.087	1.121	1.068
9:104500001-105000000	9	104500001	105000000	1.032	1.008	0.961
9:105000001-105500000	9	105000001	105500000	0.918	1.033	1.017
9:105500001-106000000	9	105500001	106000000	0.988	0.912	1.125
9:106000001-106500000	9	106000001	106500000	1.051	0.994	1.071
9:106500001-107000000	9	106500001	107000000	1.022	1.151	1.109
9:107000001-107500000	9	107000001	107500000	1.051	1.114	1.029
9:107500001-108000000	9	107500001	108000000	0.904	1.059	0.984
9:108000001-108500000	9	108000001	108500000	0.908	1.029	0.955
9:108500001-109000000	9	108500001	109000000	1.022	0.877	1.019
9:109000001-109500000	9	109000001	109500000	1.08	0.955	1.05
9:109500001-110000000	9	109500001	110000000	0.982	1.029	1.046
9:110000001-110500000	9	110000001	110500000	1.052	1.274	1.047
9:110500001-111000000	9	110500001	111000000	0.958	0.999	1.071
9:111000001-111500000	9	111000001	111500000	0.987	0.956	0.986
9:111500001-112000000	9	111500001	112000000	0.946	0.947	0.884
9:112000001-112500000	9	112000001	112500000	0.91	0.953	0.873
9:112500001-113000000	9	112500001	113000000	0.996	1.127	1.088
9:113000001-113500000	9	113000001	113500000	1.078	0.919	1.018
9:113500001-114000000	9	113500001	114000000	1.016	0.889	0.907
9:114000001-114500000	9	114000001	114500000	1.022	0.905	0.97
9:114500001-115000000	9	114500001	115000000	0.987	0.947	1.076
9:115000001-115500000	9	115000001	115500000	1.045	1.057	0.976
9:115500001-116000000	9	115500001	116000000	0.973	0.93	1.104
9:116000001-116500000	9	116000001	116500000	1.038	1.034	0.987
9:116500001-117000000	9	116500001	117000000	0.959	1.108	0.958
9:117500001-118000000	9	117500001	118000000	0.99	0.995	1.036
9:118000001-118500000	9	118000001	118500000	1.011	0.947	0.988
9:118500001-119000000	9	118500001	119000000	1.034	0.921	0.993
9:119000001-119500000	9	119000001	119500000	1.086	1.019	1.047
9:119500001-120000000	9	119500001	120000000	1.026	1.034	1.055
9:120000001-120500000	9	120000001	120500000	1.138	1.028	1.07
9:120500001-121000000	9	120500001	121000000	0.943	0.949	0.961
9:121000001-121500000	9	121000001	121500000	0.964	0.965	0.924
9:121500001-122000000	9	121500001	122000000	1.047	1.123	0.989
9:122000001-122500000	9	122000001	122500000	1.053	1.002	0.92
9:123000001-123500000	9	123000001	123500000	1.039	1.044	0.992
9:123500001-124000000	9	123500001	124000000	1.025	1.015	1.021
9:124000001-124500000	9	124000001	124500000	0.966	0.947	1.064
9:124500001-125000000	9	124500001	125000000	0.987	0.945	1.019
9:125000001-125500000	9	125000001	125500000	1.102	0.999	1.037
9:125500001-126000000	9	125500001	126000000	0.91	0.866	0.969
9:126000001-126500000	9	126000001	126500000	1	1.066	1.014
9:126500001-127000000	9	126500001	127000000	1.077	0.862	1.003
9:127000001-127500000	9	127000001	127500000	0.933	1.055	1.01
9:127500001-128000000	9	127500001	128000000	0.97	1.064	1.005
9:128000001-128500000	9	128000001	128500000	1.073	1.057	0.979
9:128500001-129000000	9	128500001	129000000	1.035	1.021	0.934
9:129000001-129500000	9	129000001	129500000	1.008	1.037	0.864
9:130000001-130500000	9	130000001	130500000	1.077	1.076	1.041
9:130500001-131000000	9	130500001	131000000	0.999	1.055	0.995
9:131000001-131500000	9	131000001	131500000	1.048	1.073	1.023
9:131500001-132000000	9	131500001	132000000	0.989	1.12	0.907
9:132000001-132500000	9	132000001	132500000	0.947	1.019	1.005
9:132500001-133000000	9	132500001	133000000	0.948	0.943	1.064
9:133000001-133500000	9	133000001	133500000	0.912	0.958	0.899
9:133500001-134000000	9	133500001	134000000	0.937	1.036	0.994
9:134500001-135000000	9	134500001	135000000	1.023	1.036	0.933
9:135000001-135500000	9	135000001	135500000	0.928	0.994	0.998
9:135500001-136000000	9	135500001	136000000	0.964	0.992	1.004
9:136000001-136500000	9	136000001	136500000	0.883	0.887	0.913
9:136500001-137000000	9	136500001	137000000	0.872	1.022	0.946
9:137000001-137500000	9	137000001	137500000	0.936	0.981	0.945
9:137500001-138000000	9	137500001	138000000	1.013	1.112	0.987
10:1-500000	10	1	500000	0.961	0.984	1.057
10:500001-1000000	10	500001	1000000	1.012	1.019	1.001
10:1000001-1500000	10	1000001	1500000	1.082	1.052	1.111
10:1500001-2000000	10	1500001	2000000	0.935	0.975	1.038
10:2500001-3000000	10	2500001	3000000	0.981	1.044	1.031
10:3000001-3500000	10	3000001	3500000	0.941	1.059	1.061
10:3500001-4000000	10	3500001	4000000	1.029	0.976	0.876
10:4000001-4500000	10	4000001	4500000	0.998	1.067	1.047
10:4500001-5000000	10	4500001	5000000	0.92	0.966	0.937
10:5000001-5500000	10	5000001	5500000	0.96	1.065	1.068
10:5500001-6000000	10	5500001	6000000	0.952	0.985	0.944
10:6000001-6500000	10	6000001	6500000	1.059	0.984	0.968
10:6500001-7000000	10	6500001	7000000	1.058	1.065	1.02
10:7000001-7500000	10	7000001	7500000	0.946	1.012	0.982
10:7500001-8000000	10	7500001	8000000	1.074	0.996	0.871
10:8000001-8500000	10	8000001	8500000	0.967	0.98	0.949
10:8500001-9000000	10	8500001	9000000	0.945	1.022	1.045
10:9000001-9500000	10	9000001	9500000	1.001	1.029	0.981
10:9500001-10000000	10	9500001	10000000	0.985	1.029	1.034
10:10000001-10500000	10	10000001	10500000	1.001	0.985	0.985
10:10500001-11000000	10	10500001	11000000	0.985	1.019	1.119
10:11000001-11500000	10	11000001	11500000	0.963	0.941	0.937
10:11500001-12000000	10	11500001	12000000	1.067	1.118	0.919
10:12000001-12500000	10	12000001	12500000	1.025	0.883	1.011
10:12500001-13000000	10	12500001	13000000	1.037	1.086	0.923
10:13000001-13500000	10	13000001	13500000	1.075	0.982	0.97
10:13500001-14000000	10	13500001	14000000	0.95	1.016	0.949
10:14000001-14500000	10	14000001	14500000	0.97	1.04	1.007
10:14500001-15000000	10	14500001	15000000	1.059	1.108	0.923
10:15000001-15500000	10	15000001	15500000	1.125	1.015	1.085
10:15500001-16000000	10	15500001	16000000	1	0.975	0.967
10:16000001-16500000	10	16000001	16500000	0.941	0.969	0.952
10:16500001-17000000	10	16500001	17000000	1.01	1.086	0.941
10:17000001-17500000	10	17000001	17500000	0.99	1.016	0.948
10:17500001-18000000	10	17500001	18000000	0.991	1.061	0.939
10:18000001-18500000	10	18000001	18500000	0.93	0.918	0.978
10:18500001-19000000	10	18500001	19000000	0.938	0.921	0.895
10:19000001-19500000	10	19000001	19500000	0.964	1.05	0.898
10:20000001-20500000	10	20000001	20500000	0.981	0.907	0.998
10:20500001-21000000	10	20500001	21000000	1.035	1.147	1.045
10:21000001-21500000	10	21000001	21500000	1.018	0.965	1.094
10:21500001-22000000	10	21500001	22000000	0.991	1.023	0.967
10:22000001-22500000	10	22000001	22500000	0.972	1.171	1.017
10:22500001-23000000	10	22500001	23000000	1.021	0.927	0.952
10:23000001-23500000	10	23000001	23500000	1.04	1.048	0.907
10:23500001-24000000	10	23500001	24000000	1.054	1.104	1.049
10:24000001-24500000	10	24000001	24500000	0.98	1.02	0.934
10:24500001-25000000	10	24500001	25000000	0.968	0.906	0.914
10:25000001-25500000	10	25000001	25500000	0.899	0.969	1.02
10:26000001-26500000	10	26000001	26500000	1.079	0.986	0.983
10:27000001-27500000	10	27000001	27500000	0.916	0.964	0.977
10:27500001-28000000	10	27500001	28000000	0.946	0.91	1.013
10:28000001-28500000	10	28000001	28500000	0.941	0.976	0.959
10:28500001-29000000	10	28500001	29000000	0.907	0.855	1.002
10:29000001-29500000	10	29000001	29500000	0.901	0.981	0.913
10:29500001-30000000	10	29500001	30000000	0.92	0.961	0.931
10:30000001-30500000	10	30000001	30500000	0.995	1.052	1.019
10:31000001-31500000	10	31000001	31500000	1.006	0.966	0.985
10:31500001-32000000	10	31500001	32000000	1.057	1.059	1.106
10:32000001-32500000	10	32000001	32500000	0.924	0.922	0.886
10:32500001-33000000	10	32500001	33000000	1.058	1.009	0.985
10:33000001-33500000	10	33000001	33500000	1.071	1.058	0.967
10:33500001-34000000	10	33500001	34000000	0.965	1.086	1.029
10:34000001-34500000	10	34000001	34500000	1.006	0.935	1.013
10:34500001-35000000	10	34500001	35000000	1.014	0.871	0.933
10:35000001-35500000	10	35000001	35500000	0.958	0.952	0.994
10:35500001-36000000	10	35500001	36000000	0.971	0.952	0.921
10:36500001-37000000	10	36500001	37000000	0.893	0.936	1.009
10:43000001-43500000	10	43000001	43500000	1.082	1.054	1
10:43500001-44000000	10	43500001	44000000	1.026	1.011	1.132
10:44000001-44500000	10	44000001	44500000	1.135	1.063	1.131
10:44500001-45000000	10	44500001	45000000	0.999	1.086	0.904
10:45000001-45500000	10	45000001	45500000	1.001	1.052	1.025
10:47000001-47500000	10	47000001	47500000	1.03	0.943	1.078
10:48500001-49000000	10	48500001	49000000	1.073	0.983	0.953
10:49000001-49500000	10	49000001	49500000	1.064	1.084	0.967
10:50500001-51000000	10	50500001	51000000	1.001	1.059	0.902
10:51000001-51500000	10	51000001	51500000	1.011	0.904	1.036
10:51500001-52000000	10	51500001	52000000	0.958	0.927	0.942
10:52000001-52500000	10	52000001	52500000	0.986	1.004	0.99
10:52500001-53000000	10	52500001	53000000	1.027	0.971	0.964
10:53000001-53500000	10	53000001	53500000	1.024	0.965	0.968
10:53500001-54000000	10	53500001	54000000	1.061	0.927	1.048
10:54000001-54500000	10	54000001	54500000	0.982	1.024	0.917
10:54500001-55000000	10	54500001	55000000	0.978	0.969	1.022
10:55000001-55500000	10	55000001	55500000	0.961	1.044	0.939
10:56000001-56500000	10	56000001	56500000	0.954	0.986	0.991
10:56500001-57000000	10	56500001	57000000	0.923	0.968	1.021
10:57000001-57500000	10	57000001	57500000	0.937	0.967	0.938
10:58000001-58500000	10	58000001	58500000	0.955	0.914	0.955
10:58500001-59000000	10	58500001	59000000	0.975	1.041	0.964
10:59500001-60000000	10	59500001	60000000	0.899	1.017	1.062
10:60000001-60500000	10	60000001	60500000	1.038	1.043	1.014
10:60500001-61000000	10	60500001	61000000	0.922	0.977	0.972
10:61000001-61500000	10	61000001	61500000	0.992	1.077	0.982
10:61500001-62000000	10	61500001	62000000	0.978	0.924	0.973
10:62000001-62500000	10	62000001	62500000	0.976	1.082	1.017
10:62500001-63000000	10	62500001	63000000	1.059	0.942	1.006
10:63000001-63500000	10	63000001	63500000	0.889	0.937	0.918
10:63500001-64000000	10	63500001	64000000	0.925	1.003	0.976
10:64000001-64500000	10	64000001	64500000	1.012	0.902	0.99
10:64500001-65000000	10	64500001	65000000	1.023	0.99	1.012
10:65000001-65500000	10	65000001	65500000	1.071	1.033	0.929
10:65500001-66000000	10	65500001	66000000	0.961	1.028	1.008
10:66000001-66500000	10	66000001	66500000	0.994	0.919	1.023
10:66500001-67000000	10	66500001	67000000	1.01	1.027	0.986
10:67000001-67500000	10	67000001	67500000	1.006	0.97	0.974
10:67500001-68000000	10	67500001	68000000	0.991	1.014	1.082
10:68000001-68500000	10	68000001	68500000	0.906	0.945	0.945
10:68500001-69000000	10	68500001	69000000	0.952	1.069	1.022
10:69000001-69500000	10	69000001	69500000	1.054	0.919	1.047
10:70000001-70500000	10	70000001	70500000	0.946	0.933	0.964
10:70500001-71000000	10	70500001	71000000	1.055	1.1	1.022
10:71000001-71500000	10	71000001	71500000	1.005	1.062	1.058
10:71500001-72000000	10	71500001	72000000	1.009	0.948	0.967
10:72000001-72500000	10	72000001	72500000	1.068	0.973	1.034
10:72500001-73000000	10	72500001	73000000	0.977	0.937	0.986
10:73000001-73500000	10	73000001	73500000	1.006	0.902	0.923
10:73500001-74000000	10	73500001	74000000	1.069	1.174	1.093
10:74000001-74500000	10	74000001	74500000	0.888	0.995	0.938
10:74500001-75000000	10	74500001	75000000	0.954	1.016	0.922
10:75000001-75500000	10	75000001	75500000	1.01	0.982	0.965
10:75500001-76000000	10	75500001	76000000	1.074	0.875	1.028
10:76000001-76500000	10	76000001	76500000	1.043	1.057	1.055
10:76500001-77000000	10	76500001	77000000	1.083	1.014	1.029
10:77500001-78000000	10	77500001	78000000	1.038	0.964	0.946
10:78000001-78500000	10	78000001	78500000	1.074	1.104	1.03
10:78500001-79000000	10	78500001	79000000	0.932	1.209	1.047
10:80000001-80500000	10	80000001	80500000	1.008	1.038	0.97
10:80500001-81000000	10	80500001	81000000	1.091	1.001	1.008
10:81000001-81500000	10	81000001	81500000	0.963	1.055	1.014
10:81500001-82000000	10	81500001	82000000	0.973	0.956	0.999
10:82000001-82500000	10	82000001	82500000	1.038	1.029	0.975
10:82500001-83000000	10	82500001	83000000	1.026	1.077	1.038
10:83000001-83500000	10	83000001	83500000	0.97	0.984	0.975
10:83500001-84000000	10	83500001	84000000	1.007	0.965	0.975
10:84000001-84500000	10	84000001	84500000	1.069	0.903	0.998
10:84500001-85000000	10	84500001	85000000	1.009	1.122	1.009
10:85000001-85500000	10	85000001	85500000	0.929	0.988	0.976
10:85500001-86000000	10	85500001	86000000	1.085	1.094	1.064
10:86000001-86500000	10	86000001	86500000	1.004	0.999	0.941
10:86500001-87000000	10	86500001	87000000	1.008	1.001	0.972
10:87500001-88000000	10	87500001	88000000	0.967	0.86	0.946
10:88500001-89000000	10	88500001	89000000	0.971	1.077	1.017
10:89000001-89500000	10	89000001	89500000	0.928	0.991	0.953
10:90000001-90500000	10	90000001	90500000	1.054	0.983	0.971
10:90500001-91000000	10	90500001	91000000	0.972	1.002	0.999
10:91000001-91500000	10	91000001	91500000	1.03	0.981	1.049
10:91500001-92000000	10	91500001	92000000	0.957	0.977	1.033
10:92000001-92500000	10	92000001	92500000	1.064	1.171	0.939
10:92500001-93000000	10	92500001	93000000	1.009	1.039	1.004
10:93000001-93500000	10	93000001	93500000	1.04	1.008	0.972
10:93500001-94000000	10	93500001	94000000	1.017	0.978	1.008
10:94000001-94500000	10	94000001	94500000	1.014	1.09	0.985
10:95000001-95500000	10	95000001	95500000	1.061	1.105	0.939
10:95500001-96000000	10	95500001	96000000	1.008	0.994	0.976
10:96000001-96500000	10	96000001	96500000	0.933	0.984	0.946
10:96500001-97000000	10	96500001	97000000	0.985	0.917	0.908
10:97000001-97500000	10	97000001	97500000	1.069	1.099	0.978
10:97500001-98000000	10	97500001	98000000	1.026	1.044	1.046
10:98000001-98500000	10	98000001	98500000	1.128	0.99	1.014
10:98500001-99000000	10	98500001	99000000	1.028	1.22	1.091
10:99000001-99500000	10	99000001	99500000	1.023	1.056	0.965
10:99500001-100000000	10	99500001	100000000	0.989	0.99	0.994
10:100500001-101000000	10	100500001	101000000	1.067	0.944	1.006
10:101000001-101500000	10	101000001	101500000	0.968	1.073	1.007
10:101500001-102000000	10	101500001	102000000	1.045	0.976	0.963
10:102000001-102500000	10	102000001	102500000	1.136	1.041	1.018
10:102500001-103000000	10	102500001	103000000	1.019	0.973	0.901
10:103000001-103500000	10	103000001	103500000	1.067	1.029	1.019
10:103500001-104000000	10	103500001	104000000	0.957	0.993	0.981
10:104000001-104500000	10	104000001	104500000	0.892	0.992	0.939
10:104500001-105000000	10	104500001	105000000	1.095	0.982	1.033
10:105000001-105500000	10	105000001	105500000	1.132	1.107	1.011
10:105500001-106000000	10	105500001	106000000	1.019	0.94	0.965
10:106000001-106500000	10	106000001	106500000	1.006	0.991	0.996
10:106500001-107000000	10	106500001	107000000	1.091	1.075	1.103
10:107000001-107500000	10	107000001	107500000	1.021	0.977	1.019
10:107500001-108000000	10	107500001	108000000	0.919	0.99	0.982
10:108000001-108500000	10	108000001	108500000	0.99	1.005	0.946
10:108500001-109000000	10	108500001	109000000	1.12	0.977	1.099
10:109000001-109500000	10	109000001	109500000	1.112	1.02	1.089
10:110000001-110500000	10	110000001	110500000	0.941	1.068	0.91
10:110500001-111000000	10	110500001	111000000	0.862	1.027	0.957
10:111000001-111500000	10	111000001	111500000	1.015	0.898	0.987
10:111500001-112000000	10	111500001	112000000	1.072	0.957	1.055
10:112000001-112500000	10	112000001	112500000	1.101	1.069	1.007
10:113000001-113500000	10	113000001	113500000	0.958	0.965	1.083
10:113500001-114000000	10	113500001	114000000	0.943	1.103	0.959
10:114000001-114500000	10	114000001	114500000	1.021	0.919	1.004
10:114500001-115000000	10	114500001	115000000	0.98	1.027	1.011
10:115500001-116000000	10	115500001	116000000	1.031	1.062	1.062
10:116000001-116500000	10	116000001	116500000	1	0.969	0.955
10:116500001-117000000	10	116500001	117000000	0.994	1.003	0.988
10:117000001-117500000	10	117000001	117500000	0.978	0.941	0.86
10:117500001-118000000	10	117500001	118000000	1.034	0.96	1.032
10:118000001-118500000	10	118000001	118500000	0.985	0.997	0.969
10:118500001-119000000	10	118500001	119000000	1.104	0.939	0.983
10:119000001-119500000	10	119000001	119500000	1.067	0.919	0.937
10:119500001-120000000	10	119500001	120000000	1.023	1.102	1.034
10:120000001-120500000	10	120000001	120500000	0.957	1.02	1.007
10:120500001-121000000	10	120500001	121000000	0.948	1.094	1.046
10:121000001-121500000	10	121000001	121500000	1.016	0.872	1.006
10:121500001-122000000	10	121500001	122000000	0.92	1.044	1.042
10:122000001-122500000	10	122000001	122500000	1.02	1.153	1.02
10:122500001-123000000	10	122500001	123000000	1.057	1.056	1.043
10:123500001-124000000	10	123500001	124000000	1	0.918	1.016
10:124000001-124500000	10	124000001	124500000	0.969	0.985	0.959
10:124500001-125000000	10	124500001	125000000	1.003	0.83	0.932
10:125000001-125500000	10	125000001	125500000	1.02	0.964	1.049
10:126000001-126500000	10	126000001	126500000	1.002	1.021	1.096
10:126500001-127000000	10	126500001	127000000	0.935	1.092	1.032
10:127000001-127500000	10	127000001	127500000	0.979	0.986	0.999
10:127500001-128000000	10	127500001	128000000	0.958	1.001	0.899
10:128000001-128500000	10	128000001	128500000	0.978	0.923	1.026
10:128500001-129000000	10	128500001	129000000	1.02	0.973	0.961
10:129000001-129500000	10	129000001	129500000	0.971	1.011	0.899
10:130000001-130500000	10	130000001	130500000	1.122	1.016	0.997
10:130500001-131000000	10	130500001	131000000	1.014	0.972	1.023
10:131000001-131500000	10	131000001	131500000	1.067	0.99	1.004
10:131500001-132000000	10	131500001	132000000	1.036	0.908	1.08
10:132000001-132500000	10	132000001	132500000	1.094	1.125	0.986
10:132500001-133000000	10	132500001	133000000	1.005	1.066	0.982
10:133000001-133500000	10	133000001	133500000	1.026	1.161	1.038
11:500001-1000000	11	500001	1000000	0.731	1.047	0.977
11:1000001-1500000	11	1000001	1500000	0.709	1.14	1.048
11:1500001-2000000	11	1500001	2000000	0.728	0.92	1.028
11:2000001-2500000	11	2000001	2500000	0.775	0.957	0.919
11:2500001-3000000	11	2500001	3000000	0.768	1.004	0.996
11:4500001-5000000	11	4500001	5000000	0.749	0.903	1.083
11:5000001-5500000	11	5000001	5500000	0.803	1.027	1.068
11:5500001-6000000	11	5500001	6000000	0.678	0.947	0.908
11:6000001-6500000	11	6000001	6500000	0.713	1.073	0.983
11:6500001-7000000	11	6500001	7000000	0.663	1.02	0.978
11:7000001-7500000	11	7000001	7500000	0.761	0.981	0.986
11:7500001-8000000	11	7500001	8000000	0.79	1.125	1.024
11:8500001-9000000	11	8500001	9000000	0.726	1.062	0.971
11:9000001-9500000	11	9000001	9500000	0.738	0.97	0.949
11:9500001-10000000	11	9500001	10000000	0.7	1.013	1.076
