feature	chromosome	start	end	SLX-17921.D703tp_D508tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D705tp_D501tp.HC22VBBXY.s_3.r_1
8:63000001-63500000	8	63000001	63500000	1.013	1.044	0.937	1.055
8:63500001-64000000	8	63500001	64000000	1.042	1.034	1.051	1.038
8:64000001-64500000	8	64000001	64500000	1.101	1.067	1.052	1.042
8:64500001-65000000	8	64500001	65000000	1.039	1.042	0.973	1.184
8:65000001-65500000	8	65000001	65500000	1.058	1.094	1.062	1.018
8:65500001-66000000	8	65500001	66000000	0.994	1.007	0.924	1.019
8:66000001-66500000	8	66000001	66500000	0.94	1.047	0.959	1.07
8:66500001-67000000	8	66500001	67000000	0.98	0.968	0.879	0.979
8:67000001-67500000	8	67000001	67500000	0.974	0.932	0.957	0.907
8:68000001-68500000	8	68000001	68500000	1.057	1.085	1.102	1.062
8:68500001-69000000	8	68500001	69000000	1.023	1.083	1.037	1.003
8:69500001-70000000	8	69500001	70000000	1.041	1.051	1.018	1.048
8:70000001-70500000	8	70000001	70500000	1.048	0.931	1.014	0.951
8:70500001-71000000	8	70500001	71000000	1.049	1.047	0.996	1.126
8:71000001-71500000	8	71000001	71500000	1.062	1.006	1.084	1.171
8:71500001-72000000	8	71500001	72000000	1.013	1.039	1.152	1.147
8:72000001-72500000	8	72000001	72500000	0.985	0.999	0.986	1.154
8:73000001-73500000	8	73000001	73500000	0.978	1.058	0.989	1.082
8:73500001-74000000	8	73500001	74000000	0.969	0.936	0.89	0.93
8:74000001-74500000	8	74000001	74500000	1.099	1.039	1.176	1.081
8:75000001-75500000	8	75000001	75500000	0.987	1.032	0.944	1.236
8:75500001-76000000	8	75500001	76000000	1.044	1.097	0.948	1.044
8:77000001-77500000	8	77000001	77500000	1.004	0.991	1.01	1.072
8:77500001-78000000	8	77500001	78000000	1.013	1.007	0.996	1.108
8:78000001-78500000	8	78000001	78500000	1.02	0.999	1.05	1.073
8:78500001-79000000	8	78500001	79000000	0.972	0.938	0.988	0.88
8:79000001-79500000	8	79000001	79500000	0.931	1.068	0.937	0.876
8:79500001-80000000	8	79500001	80000000	1.021	1.025	0.987	1.003
8:80000001-80500000	8	80000001	80500000	0.937	0.993	1.049	0.865
8:80500001-81000000	8	80500001	81000000	1.045	1.006	1.068	1.043
8:81000001-81500000	8	81000001	81500000	1.001	0.991	1.056	1.075
8:81500001-82000000	8	81500001	82000000	0.976	1.043	1.032	0.843
8:82000001-82500000	8	82000001	82500000	0.959	0.909	0.994	0.913
8:82500001-83000000	8	82500001	83000000	0.923	1	1.014	1.053
8:83000001-83500000	8	83000001	83500000	0.893	1.037	0.924	0.956
8:83500001-84000000	8	83500001	84000000	1.026	1.022	0.95	1.009
8:84000001-84500000	8	84000001	84500000	1.08	1.108	1.006	1.014
8:84500001-85000000	8	84500001	85000000	0.977	0.916	0.959	1.161
8:85000001-85500000	8	85000001	85500000	1.036	0.967	0.969	0.964
8:86000001-86500000	8	86000001	86500000	0.944	0.88	0.929	1.013
8:86500001-87000000	8	86500001	87000000	1	1.006	0.959	1.135
8:87000001-87500000	8	87000001	87500000	1.036	0.985	1.029	1.07
8:87500001-88000000	8	87500001	88000000	0.972	0.931	1.046	1.051
8:88000001-88500000	8	88000001	88500000	0.976	0.968	0.96	0.898
8:88500001-89000000	8	88500001	89000000	1.059	0.996	0.935	1.065
8:89000001-89500000	8	89000001	89500000	1.004	1.104	0.961	1.083
8:89500001-90000000	8	89500001	90000000	1.006	0.911	0.954	0.922
8:90000001-90500000	8	90000001	90500000	1.116	1.058	1.008	1.074
8:90500001-91000000	8	90500001	91000000	1.081	1.042	1.013	0.947
8:91000001-91500000	8	91000001	91500000	1.072	1.053	1.123	1.09
8:91500001-92000000	8	91500001	92000000	1.067	1.093	0.975	1.068
8:92000001-92500000	8	92000001	92500000	1.035	1.081	0.937	1.042
8:92500001-93000000	8	92500001	93000000	1.032	0.976	0.958	1.065
8:93000001-93500000	8	93000001	93500000	1.01	0.963	1.045	1.091
8:93500001-94000000	8	93500001	94000000	1.187	0.952	1.072	1.081
8:94000001-94500000	8	94000001	94500000	0.998	0.999	0.923	1.041
8:94500001-95000000	8	94500001	95000000	0.849	0.889	0.966	0.983
8:95000001-95500000	8	95000001	95500000	1.008	1.024	0.96	1.093
8:95500001-96000000	8	95500001	96000000	1.073	1.032	1.048	1.289
8:96000001-96500000	8	96000001	96500000	1.032	1.088	0.967	1.015
8:96500001-97000000	8	96500001	97000000	1.074	0.903	0.993	1.116
8:97000001-97500000	8	97000001	97500000	1.174	1.076	1.165	1.24
8:98000001-98500000	8	98000001	98500000	1.043	1.024	0.987	1.258
8:98500001-99000000	8	98500001	99000000	1.111	0.986	0.989	1.294
8:99500001-100000000	8	99500001	100000000	1.229	1.03	1.01	1.252
8:100000001-100500000	8	100000001	100500000	1.079	0.883	1.002	1.261
8:100500001-101000000	8	100500001	101000000	1.053	0.898	1.015	1.316
8:101000001-101500000	8	101000001	101500000	1.086	0.99	0.944	1.246
8:101500001-102000000	8	101500001	102000000	1.088	1.161	1.033	1.397
8:102000001-102500000	8	102000001	102500000	1.199	1.026	0.954	1.198
8:103500001-104000000	8	103500001	104000000	1.06	1.007	0.936	1.159
8:104000001-104500000	8	104000001	104500000	1.032	0.983	1.099	1.078
8:104500001-105000000	8	104500001	105000000	1.057	0.971	0.976	1.067
8:105000001-105500000	8	105000001	105500000	1.152	1.025	1.083	1.055
8:105500001-106000000	8	105500001	106000000	1.044	0.984	1.08	1.159
8:106000001-106500000	8	106000001	106500000	1.06	1.013	1.006	0.954
8:106500001-107000000	8	106500001	107000000	1.068	0.979	0.977	1.062
8:107000001-107500000	8	107000001	107500000	1.044	1.117	0.948	1.058
8:107500001-108000000	8	107500001	108000000	0.983	1.045	1.031	1.059
8:108000001-108500000	8	108000001	108500000	1.121	1.038	1.014	1.126
8:109000001-109500000	8	109000001	109500000	1.015	1.042	0.921	1.187
8:109500001-110000000	8	109500001	110000000	1.151	1.024	1.02	0.999
8:110000001-110500000	8	110000001	110500000	1.057	1.055	1.036	1.119
8:111500001-112000000	8	111500001	112000000	1.044	0.842	0.967	1.08
8:112000001-112500000	8	112000001	112500000	0.969	1.012	0.924	1.041
8:112500001-113000000	8	112500001	113000000	1.083	1.111	1.144	1.073
8:113000001-113500000	8	113000001	113500000	0.99	1.164	0.993	1.179
8:113500001-114000000	8	113500001	114000000	1.09	1.03	0.902	1.236
8:114000001-114500000	8	114000001	114500000	0.983	1.052	0.996	1.125
8:114500001-115000000	8	114500001	115000000	1.006	1.043	0.966	1.08
8:115000001-115500000	8	115000001	115500000	1.014	0.988	1.049	1.215
8:115500001-116000000	8	115500001	116000000	1.043	1.119	0.96	1.075
8:116000001-116500000	8	116000001	116500000	1.104	0.94	1.041	1.083
8:116500001-117000000	8	116500001	117000000	0.995	0.991	1.004	1.064
8:117000001-117500000	8	117000001	117500000	1.077	0.992	1.036	1.081
8:117500001-118000000	8	117500001	118000000	1.042	1.06	0.98	1.099
8:118000001-118500000	8	118000001	118500000	0.99	1.108	1	0.914
8:118500001-119000000	8	118500001	119000000	1.03	1.116	1.058	1.136
8:119000001-119500000	8	119000001	119500000	1.075	1.132	1.074	0.984
8:119500001-120000000	8	119500001	120000000	1.011	1.033	0.932	1.121
8:120500001-121000000	8	120500001	121000000	1.003	0.954	0.982	1.04
8:121000001-121500000	8	121000001	121500000	1.103	1.121	1.04	1.191
8:121500001-122000000	8	121500001	122000000	1.03	1.07	1.052	1.032
8:122000001-122500000	8	122000001	122500000	1.135	1.02	1.095	1.16
8:122500001-123000000	8	122500001	123000000	1.005	1.032	0.976	1.132
8:123000001-123500000	8	123000001	123500000	0.959	0.939	0.94	1.028
8:123500001-124000000	8	123500001	124000000	1.039	1.11	1.02	1.031
8:124000001-124500000	8	124000001	124500000	0.981	0.974	0.909	1.014
8:124500001-125000000	8	124500001	125000000	1.028	1.003	0.865	1.007
8:125000001-125500000	8	125000001	125500000	1.042	0.955	1.025	1.084
8:125500001-126000000	8	125500001	126000000	0.983	1.044	0.989	1.097
8:126000001-126500000	8	126000001	126500000	0.991	0.941	1.007	1.068
8:126500001-127000000	8	126500001	127000000	1.032	1.025	0.988	1.092
8:128000001-128500000	8	128000001	128500000	1.063	1.113	1.02	1.231
8:128500001-129000000	8	128500001	129000000	1.106	1.145	1.113	1.102
8:129000001-129500000	8	129000001	129500000	1.107	0.989	1.052	1.236
8:129500001-130000000	8	129500001	130000000	0.962	0.956	0.951	1.166
8:130000001-130500000	8	130000001	130500000	0.95	0.975	0.984	1.056
8:130500001-131000000	8	130500001	131000000	0.989	1.002	1.094	1.236
8:131000001-131500000	8	131000001	131500000	0.989	1.024	1.095	1.072
8:131500001-132000000	8	131500001	132000000	1.005	1.045	1.099	1.136
8:132000001-132500000	8	132000001	132500000	0.962	1.041	1.046	1.189
8:132500001-133000000	8	132500001	133000000	1.033	0.887	0.961	1.038
8:133000001-133500000	8	133000001	133500000	0.994	0.99	0.976	1.01
8:134000001-134500000	8	134000001	134500000	0.978	1.106	1.16	1.181
8:134500001-135000000	8	134500001	135000000	1.006	0.992	0.942	1.103
8:135000001-135500000	8	135000001	135500000	0.992	1.003	1.018	1.155
8:135500001-136000000	8	135500001	136000000	0.987	0.958	1.029	1.072
8:136000001-136500000	8	136000001	136500000	0.884	1	0.998	1.086
8:136500001-137000000	8	136500001	137000000	0.908	0.876	0.947	1.145
8:137000001-137500000	8	137000001	137500000	1.034	0.99	1.055	1.076
8:137500001-138000000	8	137500001	138000000	0.988	1.049	1.007	1.187
8:138000001-138500000	8	138000001	138500000	0.951	1.105	1.082	1.144
8:138500001-139000000	8	138500001	139000000	0.927	1.037	1.042	1.159
8:139000001-139500000	8	139000001	139500000	1.034	1.066	1.034	1.114
8:139500001-140000000	8	139500001	140000000	0.989	1.079	1.042	1.017
8:140000001-140500000	8	140000001	140500000	1.006	1.068	0.973	1.167
8:140500001-141000000	8	140500001	141000000	0.821	0.897	0.974	0.984
8:141000001-141500000	8	141000001	141500000	0.935	0.935	0.952	1.12
8:141500001-142000000	8	141500001	142000000	0.955	0.978	0.989	1.078
8:142000001-142500000	8	142000001	142500000	0.913	1.005	1	1.021
8:142500001-143000000	8	142500001	143000000	0.893	0.962	1.056	1.071
8:143000001-143500000	8	143000001	143500000	0.995	0.954	0.989	0.994
8:143500001-144000000	8	143500001	144000000	0.908	1.004	0.932	1.062
8:144000001-144500000	8	144000001	144500000	0.886	0.968	1.066	1.139
8:144500001-145000000	8	144500001	145000000	0.927	1.001	1.041	1.067
9:500001-1000000	9	500001	1000000	0.942	0.954	1.054	0.903
9:1000001-1500000	9	1000001	1500000	0.97	1.033	1.115	0.893
9:1500001-2000000	9	1500001	2000000	0.977	0.954	1.036	1.027
9:2000001-2500000	9	2000001	2500000	0.841	0.943	0.97	0.993
9:2500001-3000000	9	2500001	3000000	0.901	0.974	0.994	0.944
9:3000001-3500000	9	3000001	3500000	0.837	1.024	1.063	1.031
9:3500001-4000000	9	3500001	4000000	0.956	1.102	1.035	0.908
9:4000001-4500000	9	4000001	4500000	0.992	0.953	1.077	1.01
9:4500001-5000000	9	4500001	5000000	0.926	0.974	0.946	0.897
9:5500001-6000000	9	5500001	6000000	0.849	1.02	0.923	0.903
9:6000001-6500000	9	6000001	6500000	0.996	1.012	1.036	0.926
9:6500001-7000000	9	6500001	7000000	0.945	0.92	0.988	0.904
9:7000001-7500000	9	7000001	7500000	0.922	0.961	0.977	0.939
9:7500001-8000000	9	7500001	8000000	0.959	0.946	1.016	0.947
9:8000001-8500000	9	8000001	8500000	0.907	1.118	1.047	0.918
9:8500001-9000000	9	8500001	9000000	0.968	0.96	0.941	0.839
9:9000001-9500000	9	9000001	9500000	0.844	0.943	1.047	0.989
9:10000001-10500000	9	10000001	10500000	0.955	0.95	1.021	0.927
9:10500001-11000000	9	10500001	11000000	0.925	0.953	0.95	1.047
9:11000001-11500000	9	11000001	11500000	0.825	0.942	0.977	0.842
9:11500001-12000000	9	11500001	12000000	0.897	1.078	0.985	0.982
9:12000001-12500000	9	12000001	12500000	0.835	0.992	1.052	0.916
9:12500001-13000000	9	12500001	13000000	0.927	1.077	0.997	1
9:13000001-13500000	9	13000001	13500000	0.986	0.979	0.964	0.972
9:13500001-14000000	9	13500001	14000000	0.908	1.075	0.99	0.892
9:14000001-14500000	9	14000001	14500000	0.927	0.907	0.927	0.907
9:14500001-15000000	9	14500001	15000000	1.003	0.929	0.951	1.091
9:15000001-15500000	9	15000001	15500000	0.871	0.997	0.961	0.853
9:16000001-16500000	9	16000001	16500000	0.979	0.991	1.098	0.854
9:16500001-17000000	9	16500001	17000000	0.979	1.023	1.042	0.825
9:17000001-17500000	9	17000001	17500000	0.947	1.027	0.937	0.938
9:17500001-18000000	9	17500001	18000000	0.936	1.043	1.026	0.897
9:18500001-19000000	9	18500001	19000000	0.994	1.121	1.043	1.048
9:19000001-19500000	9	19000001	19500000	0.958	0.854	0.904	0.841
9:19500001-20000000	9	19500001	20000000	0.983	1	1.127	1.027
9:20000001-20500000	9	20000001	20500000	0.984	0.962	1.068	1.109
9:20500001-21000000	9	20500001	21000000	0.947	0.987	1.002	0.855
9:21000001-21500000	9	21000001	21500000	1.037	1.076	0.962	0.969
9:21500001-22000000	9	21500001	22000000	1.009	1.063	1.087	1.007
9:22000001-22500000	9	22000001	22500000	0.928	0.964	1.071	1.038
9:22500001-23000000	9	22500001	23000000	0.9	1.048	1.025	0.983
9:23000001-23500000	9	23000001	23500000	0.871	0.955	1.018	0.881
9:23500001-24000000	9	23500001	24000000	0.93	0.945	0.926	0.901
9:24000001-24500000	9	24000001	24500000	0.865	1.063	0.987	0.813
9:24500001-25000000	9	24500001	25000000	0.925	1.099	1.055	0.957
9:25000001-25500000	9	25000001	25500000	0.898	0.963	1.034	0.909
9:25500001-26000000	9	25500001	26000000	0.937	0.973	0.969	0.881
9:26000001-26500000	9	26000001	26500000	1.017	1.073	1.086	0.967
9:26500001-27000000	9	26500001	27000000	0.963	0.947	0.928	0.859
9:27000001-27500000	9	27000001	27500000	0.982	0.994	1.099	0.968
9:27500001-28000000	9	27500001	28000000	0.925	0.952	0.921	0.957
9:28000001-28500000	9	28000001	28500000	1.008	0.933	0.916	0.893
9:28500001-29000000	9	28500001	29000000	0.99	1.01	0.963	0.888
9:29000001-29500000	9	29000001	29500000	0.994	1.052	1.02	0.941
9:29500001-30000000	9	29500001	30000000	0.881	0.901	0.98	0.925
9:30000001-30500000	9	30000001	30500000	0.951	0.946	0.949	0.898
9:30500001-31000000	9	30500001	31000000	0.834	0.895	0.999	0.923
9:31500001-32000000	9	31500001	32000000	0.967	0.983	1.095	1.054
9:32000001-32500000	9	32000001	32500000	1.05	0.999	1.064	0.929
9:32500001-33000000	9	32500001	33000000	0.92	0.967	0.957	0.964
9:33000001-33500000	9	33000001	33500000	0.98	1.02	1.006	0.953
9:34000001-34500000	9	34000001	34500000	0.916	0.891	1.067	0.96
9:35000001-35500000	9	35000001	35500000	0.987	1.028	0.985	0.934
9:35500001-36000000	9	35500001	36000000	0.815	0.93	1.027	0.819
9:36500001-37000000	9	36500001	37000000	1.011	1.041	1.065	0.993
9:37000001-37500000	9	37000001	37500000	0.896	0.926	0.948	0.859
9:37500001-38000000	9	37500001	38000000	0.963	0.998	0.992	0.906
9:38000001-38500000	9	38000001	38500000	1.023	1.02	0.991	1.009
9:68500001-69000000	9	68500001	69000000	1.027	0.951	0.984	0.988
9:69000001-69500000	9	69000001	69500000	0.999	1.001	0.988	1.075
9:69500001-70000000	9	69500001	70000000	1.067	0.987	0.994	1.015
9:70000001-70500000	9	70000001	70500000	1.073	1.03	1.07	1.092
9:70500001-71000000	9	70500001	71000000	1.057	1.089	1.024	1.055
9:71000001-71500000	9	71000001	71500000	1.028	1.058	1.025	1.099
9:71500001-72000000	9	71500001	72000000	1.016	0.964	0.982	0.972
9:72000001-72500000	9	72000001	72500000	1.009	1.016	0.965	1.064
9:73000001-73500000	9	73000001	73500000	0.938	1.012	1.085	0.981
9:73500001-74000000	9	73500001	74000000	1.037	0.979	0.992	1.07
9:74000001-74500000	9	74000001	74500000	0.977	0.995	0.989	1.044
9:74500001-75000000	9	74500001	75000000	1.078	1.076	1.004	1.005
9:75000001-75500000	9	75000001	75500000	1	0.948	0.967	1
9:75500001-76000000	9	75500001	76000000	0.969	1.014	0.998	0.965
9:76000001-76500000	9	76000001	76500000	0.991	1.063	0.972	1.006
9:76500001-77000000	9	76500001	77000000	1.065	1.004	1.004	1.163
9:77000001-77500000	9	77000001	77500000	0.974	0.997	1.004	1.052
9:77500001-78000000	9	77500001	78000000	0.946	0.918	0.972	1.153
9:78000001-78500000	9	78000001	78500000	1.232	1.097	1.001	1.019
9:79000001-79500000	9	79000001	79500000	1.157	1.128	1.096	1.196
9:80000001-80500000	9	80000001	80500000	1.105	0.924	0.938	0.875
9:81000001-81500000	9	81000001	81500000	1.016	0.973	1.02	1.015
9:82500001-83000000	9	82500001	83000000	1.046	1.092	1.055	1.105
9:83000001-83500000	9	83000001	83500000	1.001	0.913	0.994	1.031
9:83500001-84000000	9	83500001	84000000	0.987	0.946	0.904	0.974
9:84000001-84500000	9	84000001	84500000	1.067	0.978	0.892	1.044
9:84500001-85000000	9	84500001	85000000	0.99	1.098	0.997	1.186
9:85000001-85500000	9	85000001	85500000	1.032	1.029	1.045	1.161
9:85500001-86000000	9	85500001	86000000	0.964	1.009	0.996	0.886
9:86000001-86500000	9	86000001	86500000	1.045	1.056	1.025	1.06
9:86500001-87000000	9	86500001	87000000	1.058	1.025	1.057	1.107
9:87000001-87500000	9	87000001	87500000	1.066	0.967	0.999	1.188
9:87500001-88000000	9	87500001	88000000	1.012	1.091	0.957	1.122
9:88000001-88500000	9	88000001	88500000	1.109	1.063	1.092	1.09
9:88500001-89000000	9	88500001	89000000	1.016	1.065	1.004	1.096
9:89000001-89500000	9	89000001	89500000	0.986	0.963	1.047	0.951
9:89500001-90000000	9	89500001	90000000	0.97	0.913	0.99	0.991
9:90000001-90500000	9	90000001	90500000	1.186	1.123	1.101	1.074
9:90500001-91000000	9	90500001	91000000	1.086	1.03	1.043	1.129
9:91000001-91500000	9	91000001	91500000	1.053	1.026	0.996	1.1
9:91500001-92000000	9	91500001	92000000	1.037	0.981	0.947	1.07
9:93000001-93500000	9	93000001	93500000	0.993	0.967	1.029	1.066
9:93500001-94000000	9	93500001	94000000	0.954	1.027	0.934	1.029
9:94500001-95000000	9	94500001	95000000	1.018	1.05	0.963	1.116
9:95000001-95500000	9	95000001	95500000	1.054	1.013	0.965	1.006
9:96000001-96500000	9	96000001	96500000	1.004	0.961	1.006	1.027
9:97500001-98000000	9	97500001	98000000	1.098	0.993	0.923	1.122
9:98000001-98500000	9	98000001	98500000	1.004	0.953	1	0.991
9:98500001-99000000	9	98500001	99000000	1.076	1.038	1.007	1.097
9:99000001-99500000	9	99000001	99500000	1.027	1.033	0.897	1.028
9:99500001-100000000	9	99500001	100000000	1.005	1	1.071	1.04
9:100000001-100500000	9	100000001	100500000	0.979	1.031	0.923	1.063
9:100500001-101000000	9	100500001	101000000	1.128	1.121	1.09	1.215
9:101000001-101500000	9	101000001	101500000	0.999	1.004	0.97	1.195
9:101500001-102000000	9	101500001	102000000	1.133	1.094	1.046	1.05
9:102000001-102500000	9	102000001	102500000	1.018	1.007	1.013	0.913
9:102500001-103000000	9	102500001	103000000	1.04	0.926	0.988	0.871
9:103000001-103500000	9	103000001	103500000	0.995	0.905	0.992	1.054
9:103500001-104000000	9	103500001	104000000	1.007	0.994	1.135	1.003
9:104000001-104500000	9	104000001	104500000	0.976	1.011	0.959	1.104
9:104500001-105000000	9	104500001	105000000	1.05	0.874	1.012	1.096
9:105000001-105500000	9	105000001	105500000	0.962	1.058	0.98	1.066
9:105500001-106000000	9	105500001	106000000	1.027	1.042	1.128	1.019
9:106000001-106500000	9	106000001	106500000	1.105	1.101	1.088	1.096
9:106500001-107000000	9	106500001	107000000	1.096	1.145	1.105	1.048
9:107000001-107500000	9	107000001	107500000	1.068	1.022	1.023	1.078
9:107500001-108000000	9	107500001	108000000	1.073	1.062	1.087	1.044
9:108000001-108500000	9	108000001	108500000	1.084	1.086	0.945	1.041
9:108500001-109000000	9	108500001	109000000	1.025	1.052	0.898	1.061
9:109000001-109500000	9	109000001	109500000	0.914	0.97	0.947	1.008
9:109500001-110000000	9	109500001	110000000	1.013	0.952	1.115	1.179
9:110000001-110500000	9	110000001	110500000	1.079	1.08	1.01	1.003
9:110500001-111000000	9	110500001	111000000	0.965	1.101	0.999	1.074
9:111000001-111500000	9	111000001	111500000	1.039	1.055	1.034	0.971
9:111500001-112000000	9	111500001	112000000	0.903	0.937	0.995	0.926
9:112000001-112500000	9	112000001	112500000	0.867	0.903	0.906	0.988
9:112500001-113000000	9	112500001	113000000	0.941	1.048	0.936	0.961
9:113000001-113500000	9	113000001	113500000	0.989	1.002	1.036	1.269
9:113500001-114000000	9	113500001	114000000	1.033	0.883	1.022	1.144
9:114000001-114500000	9	114000001	114500000	0.937	0.996	1.031	0.943
9:114500001-115000000	9	114500001	115000000	0.969	1.002	1.035	1.045
9:115000001-115500000	9	115000001	115500000	1.016	0.963	1.022	1.085
9:115500001-116000000	9	115500001	116000000	1.093	1.114	1.02	1.172
9:116000001-116500000	9	116000001	116500000	1.026	0.98	0.991	1.154
9:116500001-117000000	9	116500001	117000000	1.099	1.041	1.004	1.072
9:117500001-118000000	9	117500001	118000000	0.972	1.037	0.985	0.985
9:118000001-118500000	9	118000001	118500000	0.982	1.108	1.017	1.108
9:118500001-119000000	9	118500001	119000000	0.99	1.054	0.98	1.073
9:119000001-119500000	9	119000001	119500000	1.071	1.091	0.953	0.979
9:119500001-120000000	9	119500001	120000000	0.989	1.098	1.152	1.111
9:120000001-120500000	9	120000001	120500000	1.019	1.089	1.065	1.087
9:120500001-121000000	9	120500001	121000000	1.01	0.915	1.007	1.074
9:121000001-121500000	9	121000001	121500000	0.882	0.988	0.916	0.998
9:121500001-122000000	9	121500001	122000000	1.165	1.097	0.959	1.194
9:122000001-122500000	9	122000001	122500000	1.025	0.989	0.948	0.975
9:123000001-123500000	9	123000001	123500000	0.986	0.84	0.989	1.039
9:123500001-124000000	9	123500001	124000000	1.074	1.13	0.935	1.129
9:124000001-124500000	9	124000001	124500000	0.968	1.018	1.047	0.958
9:124500001-125000000	9	124500001	125000000	1.047	0.95	1.061	0.965
9:125000001-125500000	9	125000001	125500000	1.003	0.922	1.031	1.026
9:125500001-126000000	9	125500001	126000000	1.041	0.966	0.962	1.084
9:126000001-126500000	9	126000001	126500000	1.048	0.954	0.945	1.015
9:126500001-127000000	9	126500001	127000000	0.981	0.989	1.027	1.086
9:127000001-127500000	9	127000001	127500000	1.067	0.921	0.948	1.044
9:127500001-128000000	9	127500001	128000000	0.972	0.981	0.961	0.913
9:128000001-128500000	9	128000001	128500000	1.012	1.023	0.999	1.076
9:128500001-129000000	9	128500001	129000000	0.986	1.002	0.974	0.993
9:129000001-129500000	9	129000001	129500000	0.906	0.888	0.908	0.969
9:130000001-130500000	9	130000001	130500000	0.976	0.99	0.992	1.05
9:130500001-131000000	9	130500001	131000000	1.088	1.043	1.103	1.074
9:131000001-131500000	9	131000001	131500000	0.956	0.978	0.893	1.069
9:131500001-132000000	9	131500001	132000000	1.007	0.957	1.067	1.025
9:132000001-132500000	9	132000001	132500000	0.944	0.93	1.035	1.021
9:132500001-133000000	9	132500001	133000000	1.042	1.008	1.129	1.108
9:133000001-133500000	9	133000001	133500000	0.889	0.976	0.934	0.949
9:133500001-134000000	9	133500001	134000000	1.011	0.946	0.974	1.024
9:134500001-135000000	9	134500001	135000000	1.001	1.065	1.072	1.095
9:135000001-135500000	9	135000001	135500000	1.002	1.073	0.989	1.078
9:135500001-136000000	9	135500001	136000000	1.018	0.937	1.063	0.901
9:136000001-136500000	9	136000001	136500000	0.949	0.979	0.989	0.943
9:136500001-137000000	9	136500001	137000000	0.895	1	0.955	1.175
9:137000001-137500000	9	137000001	137500000	0.963	0.907	1.019	1.046
9:137500001-138000000	9	137500001	138000000	1.117	1.083	1.017	1.043
10:1-500000	10	1	500000	1.1	1.108	1.076	1.149
10:500001-1000000	10	500001	1000000	0.902	0.995	0.952	0.991
10:1000001-1500000	10	1000001	1500000	1.02	0.974	1.033	1.121
10:1500001-2000000	10	1500001	2000000	0.977	0.964	1.068	1.029
10:2500001-3000000	10	2500001	3000000	0.971	1.106	0.935	0.952
10:3000001-3500000	10	3000001	3500000	0.822	0.876	1.02	0.827
10:3500001-4000000	10	3500001	4000000	0.881	0.94	0.939	0.862
10:4000001-4500000	10	4000001	4500000	0.966	1.034	0.957	0.859
10:4500001-5000000	10	4500001	5000000	0.958	0.995	1.064	1.014
10:5000001-5500000	10	5000001	5500000	1.005	0.999	0.981	0.857
10:5500001-6000000	10	5500001	6000000	0.928	0.877	0.939	0.964
10:6000001-6500000	10	6000001	6500000	0.931	0.959	1.008	1.044
10:6500001-7000000	10	6500001	7000000	0.928	1.094	0.991	1.017
10:7000001-7500000	10	7000001	7500000	0.975	1.005	1.049	1.085
10:7500001-8000000	10	7500001	8000000	0.913	0.995	0.933	0.921
10:8000001-8500000	10	8000001	8500000	0.95	1.02	1.002	1.017
10:8500001-9000000	10	8500001	9000000	1.041	0.902	1.04	0.967
10:9000001-9500000	10	9000001	9500000	1.042	1.044	1.049	0.927
10:9500001-10000000	10	9500001	10000000	1.127	1.071	1.102	1.183
10:10000001-10500000	10	10000001	10500000	1.08	1.102	0.981	1.13
10:10500001-11000000	10	10500001	11000000	1.162	1.062	1.009	1.281
10:11000001-11500000	10	11000001	11500000	1.034	1.033	0.948	1.253
10:11500001-12000000	10	11500001	12000000	1.116	0.995	1.065	1.264
10:12000001-12500000	10	12000001	12500000	0.981	0.923	0.974	1.187
10:12500001-13000000	10	12500001	13000000	1.092	1.027	1.019	1.09
10:13000001-13500000	10	13000001	13500000	1.057	1.118	0.983	1.171
10:13500001-14000000	10	13500001	14000000	1.087	0.992	0.954	1.123
10:14000001-14500000	10	14000001	14500000	1.056	0.927	0.983	1.02
10:14500001-15000000	10	14500001	15000000	0.955	0.987	0.912	0.921
10:15000001-15500000	10	15000001	15500000	0.952	1.077	1.113	1.131
10:15500001-16000000	10	15500001	16000000	1.032	0.968	1.007	1.055
10:16000001-16500000	10	16000001	16500000	0.978	1.084	1.069	1.113
10:16500001-17000000	10	16500001	17000000	1.023	0.965	0.942	1.021
10:17000001-17500000	10	17000001	17500000	1.006	1.023	0.963	0.985
10:17500001-18000000	10	17500001	18000000	0.995	1.128	1.019	0.996
10:18000001-18500000	10	18000001	18500000	0.995	1.096	0.983	1.07
10:18500001-19000000	10	18500001	19000000	0.946	1.057	0.921	1.071
10:19000001-19500000	10	19000001	19500000	0.937	0.995	0.955	0.991
10:20000001-20500000	10	20000001	20500000	0.981	0.962	0.949	1.088
10:20500001-21000000	10	20500001	21000000	1.096	0.984	0.978	1.106
10:21000001-21500000	10	21000001	21500000	0.976	1.025	0.968	0.917
10:21500001-22000000	10	21500001	22000000	0.961	0.905	0.907	0.958
10:22000001-22500000	10	22000001	22500000	0.947	1.082	1.055	0.964
10:22500001-23000000	10	22500001	23000000	0.894	1.008	1.043	0.967
10:23000001-23500000	10	23000001	23500000	0.955	0.988	0.985	0.998
10:23500001-24000000	10	23500001	24000000	1.044	1.002	1.009	1.036
10:24000001-24500000	10	24000001	24500000	0.988	0.93	0.971	0.872
10:24500001-25000000	10	24500001	25000000	0.94	0.903	0.911	0.936
