feature	chromosome	start	end	SLX-17922.D710tp_D504tp.HC22GBBXY.s_6.r_1	SLX-16150.D708tp_D503tp.HC22VBBXY.s_3.r_1
7:20500001-21000000	7	20500001	21000000	1.145	1.114
7:21000001-21500000	7	21000001	21500000	1.042	0.976
7:21500001-22000000	7	21500001	22000000	0.968	0.998
7:22000001-22500000	7	22000001	22500000	0.954	0.878
7:23000001-23500000	7	23000001	23500000	1.125	1.03
7:23500001-24000000	7	23500001	24000000	0.992	0.978
7:24000001-24500000	7	24000001	24500000	1.071	0.987
7:24500001-25000000	7	24500001	25000000	1.082	1.123
7:25000001-25500000	7	25000001	25500000	1.131	1.068
7:25500001-26000000	7	25500001	26000000	1.069	1.017
7:26000001-26500000	7	26000001	26500000	0.992	1.001
7:26500001-27000000	7	26500001	27000000	1.079	1.059
7:27000001-27500000	7	27000001	27500000	1.183	1.006
7:27500001-28000000	7	27500001	28000000	0.989	1.04
7:28000001-28500000	7	28000001	28500000	1.077	1.04
7:28500001-29000000	7	28500001	29000000	1.059	1.075
7:29000001-29500000	7	29000001	29500000	1.108	1.03
7:29500001-30000000	7	29500001	30000000	1.163	1.066
7:30000001-30500000	7	30000001	30500000	1.049	0.938
7:30500001-31000000	7	30500001	31000000	1.103	0.999
7:31000001-31500000	7	31000001	31500000	1.059	1.02
7:31500001-32000000	7	31500001	32000000	1.087	1.093
7:32000001-32500000	7	32000001	32500000	1.096	1.071
7:33000001-33500000	7	33000001	33500000	1.083	0.88
7:34000001-34500000	7	34000001	34500000	0.996	1.001
7:34500001-35000000	7	34500001	35000000	1.135	1
7:35500001-36000000	7	35500001	36000000	1.028	1.026
7:36500001-37000000	7	36500001	37000000	1.083	0.98
7:37500001-38000000	7	37500001	38000000	0.976	0.991
7:38000001-38500000	7	38000001	38500000	1.025	0.923
7:38500001-39000000	7	38500001	39000000	1.023	0.974
7:39000001-39500000	7	39000001	39500000	1.106	0.985
7:39500001-40000000	7	39500001	40000000	1.093	1.064
7:40000001-40500000	7	40000001	40500000	1.016	1.045
7:40500001-41000000	7	40500001	41000000	1.058	1.126
7:41000001-41500000	7	41000001	41500000	1.015	1.059
7:41500001-42000000	7	41500001	42000000	1.079	1.054
7:42000001-42500000	7	42000001	42500000	1.014	0.95
7:42500001-43000000	7	42500001	43000000	1.115	1.021
7:43000001-43500000	7	43000001	43500000	1.144	1.004
7:43500001-44000000	7	43500001	44000000	1.054	1.05
7:44000001-44500000	7	44000001	44500000	1.075	1.091
7:44500001-45000000	7	44500001	45000000	1.043	0.952
7:45500001-46000000	7	45500001	46000000	1.04	1.035
7:46000001-46500000	7	46000001	46500000	1.037	0.917
7:46500001-47000000	7	46500001	47000000	1.044	1.007
7:47000001-47500000	7	47000001	47500000	1.048	1.019
7:47500001-48000000	7	47500001	48000000	1.107	1.048
7:48000001-48500000	7	48000001	48500000	1.049	0.863
7:48500001-49000000	7	48500001	49000000	1.057	0.948
7:49000001-49500000	7	49000001	49500000	1.032	0.99
7:49500001-50000000	7	49500001	50000000	1.144	0.947
7:50000001-50500000	7	50000001	50500000	1.071	0.943
7:50500001-51000000	7	50500001	51000000	1.045	1.099
7:51000001-51500000	7	51000001	51500000	0.981	0.98
7:51500001-52000000	7	51500001	52000000	1.116	1.001
7:52000001-52500000	7	52000001	52500000	1.031	0.958
7:52500001-53000000	7	52500001	53000000	0.933	0.973
7:53000001-53500000	7	53000001	53500000	1.067	0.985
7:53500001-54000000	7	53500001	54000000	0.966	0.91
7:54000001-54500000	7	54000001	54500000	0.997	0.861
7:54500001-55000000	7	54500001	55000000	1.031	0.92
7:69500001-70000000	7	69500001	70000000	1.083	1.015
7:70000001-70500000	7	70000001	70500000	1.035	1.062
7:70500001-71000000	7	70500001	71000000	0.97	1.065
7:71000001-71500000	7	71000001	71500000	0.961	0.879
7:71500001-72000000	7	71500001	72000000	0.979	0.943
7:73500001-74000000	7	73500001	74000000	0.873	1.064
7:74000001-74500000	7	74000001	74500000	1.012	1.001
7:77500001-78000000	7	77500001	78000000	0.799	0.908
7:78000001-78500000	7	78000001	78500000	1.062	0.898
7:78500001-79000000	7	78500001	79000000	0.967	1.01
7:79000001-79500000	7	79000001	79500000	0.911	0.927
7:79500001-80000000	7	79500001	80000000	0.961	1.058
7:80000001-80500000	7	80000001	80500000	1.017	0.982
7:80500001-81000000	7	80500001	81000000	1.018	1.071
7:81000001-81500000	7	81000001	81500000	1.015	1.02
7:81500001-82000000	7	81500001	82000000	1.089	1.047
7:82000001-82500000	7	82000001	82500000	0.908	0.986
7:82500001-83000000	7	82500001	83000000	1.01	1.031
7:84000001-84500000	7	84000001	84500000	1.076	1.04
7:84500001-85000000	7	84500001	85000000	1.013	1.068
7:85000001-85500000	7	85000001	85500000	1.105	0.984
7:85500001-86000000	7	85500001	86000000	1.125	1.2
7:86000001-86500000	7	86000001	86500000	1.101	1.108
7:86500001-87000000	7	86500001	87000000	1.025	0.982
7:87000001-87500000	7	87000001	87500000	1.01	1.091
7:87500001-88000000	7	87500001	88000000	1.009	1.044
7:88000001-88500000	7	88000001	88500000	1.033	1.031
7:88500001-89000000	7	88500001	89000000	1.081	1.082
7:89000001-89500000	7	89000001	89500000	0.988	0.925
7:89500001-90000000	7	89500001	90000000	1.028	0.966
7:90000001-90500000	7	90000001	90500000	0.938	0.922
7:90500001-91000000	7	90500001	91000000	1.096	1.094
7:91000001-91500000	7	91000001	91500000	1.002	0.992
7:91500001-92000000	7	91500001	92000000	1.175	1.17
7:92000001-92500000	7	92000001	92500000	0.978	1.063
7:92500001-93000000	7	92500001	93000000	1.137	1.059
7:93000001-93500000	7	93000001	93500000	1.103	0.997
7:93500001-94000000	7	93500001	94000000	1.047	0.999
7:94000001-94500000	7	94000001	94500000	1.106	1.043
7:94500001-95000000	7	94500001	95000000	1.046	1.037
7:95000001-95500000	7	95000001	95500000	1.003	0.992
7:96000001-96500000	7	96000001	96500000	1.022	1.027
7:96500001-97000000	7	96500001	97000000	0.956	0.997
7:97000001-97500000	7	97000001	97500000	1.016	0.945
7:98000001-98500000	7	98000001	98500000	1.006	0.906
7:98500001-99000000	7	98500001	99000000	1.033	0.888
7:99000001-99500000	7	99000001	99500000	0.934	0.936
7:99500001-100000000	7	99500001	100000000	0.941	0.987
7:100500001-101000000	7	100500001	101000000	1.04	0.916
7:101000001-101500000	7	101000001	101500000	0.985	0.983
7:101500001-102000000	7	101500001	102000000	1.008	1.091
7:103500001-104000000	7	103500001	104000000	1.008	0.994
7:104000001-104500000	7	104000001	104500000	1.021	0.956
7:105000001-105500000	7	105000001	105500000	0.976	0.897
7:105500001-106000000	7	105500001	106000000	1.063	0.912
7:106000001-106500000	7	106000001	106500000	0.998	1.041
7:106500001-107000000	7	106500001	107000000	1.096	0.993
7:107000001-107500000	7	107000001	107500000	0.982	1.069
7:107500001-108000000	7	107500001	108000000	0.846	1.073
7:108000001-108500000	7	108000001	108500000	0.988	0.945
7:108500001-109000000	7	108500001	109000000	0.961	0.846
7:109000001-109500000	7	109000001	109500000	1.005	0.867
7:109500001-110000000	7	109500001	110000000	0.959	1.033
7:110000001-110500000	7	110000001	110500000	0.969	1.013
7:110500001-111000000	7	110500001	111000000	0.938	1.024
7:111000001-111500000	7	111000001	111500000	1.023	1.126
7:111500001-112000000	7	111500001	112000000	1.051	1.085
7:112500001-113000000	7	112500001	113000000	0.952	1.048
7:113000001-113500000	7	113000001	113500000	0.895	1.016
7:113500001-114000000	7	113500001	114000000	0.963	0.935
7:114000001-114500000	7	114000001	114500000	0.999	1.01
7:114500001-115000000	7	114500001	115000000	1.094	1.087
7:115000001-115500000	7	115000001	115500000	1.029	1.011
7:115500001-116000000	7	115500001	116000000	1.157	0.947
7:116000001-116500000	7	116000001	116500000	1.023	1.052
7:116500001-117000000	7	116500001	117000000	1.07	1.054
7:117500001-118000000	7	117500001	118000000	1.07	1.044
7:118000001-118500000	7	118000001	118500000	0.917	1.148
7:118500001-119000000	7	118500001	119000000	0.95	1.042
7:119000001-119500000	7	119000001	119500000	0.961	1.032
7:119500001-120000000	7	119500001	120000000	0.92	0.983
7:120000001-120500000	7	120000001	120500000	0.97	1.07
7:120500001-121000000	7	120500001	121000000	0.96	1.049
7:121000001-121500000	7	121000001	121500000	0.999	1.007
7:121500001-122000000	7	121500001	122000000	1.095	0.914
7:122000001-122500000	7	122000001	122500000	1.038	1.053
7:122500001-123000000	7	122500001	123000000	1.023	0.941
7:123000001-123500000	7	123000001	123500000	1.042	0.971
7:123500001-124000000	7	123500001	124000000	0.976	0.978
7:124000001-124500000	7	124000001	124500000	1.089	0.934
7:124500001-125000000	7	124500001	125000000	0.949	1.013
7:125000001-125500000	7	125000001	125500000	0.977	0.942
7:125500001-126000000	7	125500001	126000000	0.995	1.074
7:126000001-126500000	7	126000001	126500000	0.925	0.939
7:126500001-127000000	7	126500001	127000000	1.032	0.904
7:127000001-127500000	7	127000001	127500000	1.015	1.051
7:127500001-128000000	7	127500001	128000000	1.089	1.043
7:128000001-128500000	7	128000001	128500000	0.974	1.053
7:129000001-129500000	7	129000001	129500000	0.991	0.849
7:129500001-130000000	7	129500001	130000000	0.966	1.091
7:130500001-131000000	7	130500001	131000000	0.999	0.999
7:131000001-131500000	7	131000001	131500000	0.98	0.907
7:131500001-132000000	7	131500001	132000000	1.014	1.062
7:132000001-132500000	7	132000001	132500000	0.931	0.953
7:132500001-133000000	7	132500001	133000000	0.94	0.947
7:133000001-133500000	7	133000001	133500000	1.001	1.059
7:133500001-134000000	7	133500001	134000000	1.016	1.034
7:134000001-134500000	7	134000001	134500000	1.024	0.935
7:134500001-135000000	7	134500001	135000000	0.892	0.872
7:135000001-135500000	7	135000001	135500000	0.874	1.003
7:135500001-136000000	7	135500001	136000000	0.916	0.909
7:136000001-136500000	7	136000001	136500000	0.971	1.052
7:136500001-137000000	7	136500001	137000000	0.925	0.977
7:137000001-137500000	7	137000001	137500000	0.984	1.002
7:137500001-138000000	7	137500001	138000000	0.947	0.945
7:138000001-138500000	7	138000001	138500000	0.852	0.944
7:138500001-139000000	7	138500001	139000000	0.999	1.085
7:139000001-139500000	7	139000001	139500000	0.952	0.995
7:139500001-140000000	7	139500001	140000000	0.917	0.975
7:140000001-140500000	7	140000001	140500000	0.992	0.977
7:140500001-141000000	7	140500001	141000000	0.957	1.054
7:142000001-142500000	7	142000001	142500000	0.861	0.948
7:144500001-145000000	7	144500001	145000000	0.954	1.038
7:145000001-145500000	7	145000001	145500000	0.887	0.907
7:146000001-146500000	7	146000001	146500000	0.969	0.948
7:146500001-147000000	7	146500001	147000000	0.815	1.102
7:147000001-147500000	7	147000001	147500000	0.928	0.998
7:147500001-148000000	7	147500001	148000000	0.915	1.097
7:148000001-148500000	7	148000001	148500000	0.925	0.982
7:148500001-149000000	7	148500001	149000000	0.944	0.947
7:149000001-149500000	7	149000001	149500000	0.859	0.971
7:150500001-151000000	7	150500001	151000000	1.023	1.133
7:151000001-151500000	7	151000001	151500000	0.904	0.909
7:151500001-152000000	7	151500001	152000000	0.941	0.985
7:153000001-153500000	7	153000001	153500000	0.904	1.021
7:154500001-155000000	7	154500001	155000000	0.975	0.839
7:155000001-155500000	7	155000001	155500000	0.955	0.975
7:155500001-156000000	7	155500001	156000000	0.859	0.993
7:156000001-156500000	7	156000001	156500000	0.933	0.992
7:156500001-157000000	7	156500001	157000000	0.859	1.015
7:157000001-157500000	7	157000001	157500000	0.966	0.923
7:157500001-158000000	7	157500001	158000000	0.92	0.862
7:158000001-158500000	7	158000001	158500000	0.889	0.928
7:158500001-159000000	7	158500001	159000000	0.848	0.811
8:1000001-1500000	8	1000001	1500000	0.871	1.005
8:1500001-2000000	8	1500001	2000000	0.923	0.977
8:2500001-3000000	8	2500001	3000000	0.736	0.958
8:3000001-3500000	8	3000001	3500000	0.791	0.965
8:3500001-4000000	8	3500001	4000000	0.752	0.878
8:4000001-4500000	8	4000001	4500000	0.694	0.918
8:4500001-5000000	8	4500001	5000000	0.788	0.964
8:5000001-5500000	8	5000001	5500000	0.776	0.944
8:5500001-6000000	8	5500001	6000000	0.794	0.877
8:6000001-6500000	8	6000001	6500000	0.784	0.905
8:6500001-7000000	8	6500001	7000000	0.868	0.94
8:8500001-9000000	8	8500001	9000000	0.811	0.988
8:9000001-9500000	8	9000001	9500000	0.842	1.078
8:9500001-10000000	8	9500001	10000000	0.794	0.974
8:10000001-10500000	8	10000001	10500000	0.777	0.984
8:10500001-11000000	8	10500001	11000000	0.889	0.987
8:11000001-11500000	8	11000001	11500000	0.874	0.947
8:11500001-12000000	8	11500001	12000000	0.845	0.994
8:13500001-14000000	8	13500001	14000000	0.84	1.041
8:14000001-14500000	8	14000001	14500000	0.871	1.023
8:14500001-15000000	8	14500001	15000000	0.853	1.014
8:15000001-15500000	8	15000001	15500000	0.784	1.054
8:15500001-16000000	8	15500001	16000000	0.763	0.95
8:16500001-17000000	8	16500001	17000000	0.829	0.96
8:17000001-17500000	8	17000001	17500000	0.87	0.962
8:17500001-18000000	8	17500001	18000000	0.782	0.98
8:18000001-18500000	8	18000001	18500000	0.76	0.856
8:19000001-19500000	8	19000001	19500000	0.798	0.943
8:19500001-20000000	8	19500001	20000000	0.817	0.948
8:20000001-20500000	8	20000001	20500000	0.755	0.962
8:21000001-21500000	8	21000001	21500000	0.815	1.034
8:21500001-22000000	8	21500001	22000000	0.862	1.036
8:22000001-22500000	8	22000001	22500000	0.899	0.943
8:22500001-23000000	8	22500001	23000000	0.763	0.944
8:23000001-23500000	8	23000001	23500000	0.834	1.001
8:23500001-24000000	8	23500001	24000000	0.76	0.993
8:24000001-24500000	8	24000001	24500000	0.867	0.944
8:24500001-25000000	8	24500001	25000000	0.768	1.104
8:25000001-25500000	8	25000001	25500000	0.861	0.929
8:25500001-26000000	8	25500001	26000000	0.856	0.923
8:26000001-26500000	8	26000001	26500000	0.811	0.968
8:26500001-27000000	8	26500001	27000000	0.935	0.96
8:27000001-27500000	8	27000001	27500000	0.822	0.983
8:27500001-28000000	8	27500001	28000000	0.821	1.016
8:28000001-28500000	8	28000001	28500000	0.805	0.862
8:28500001-29000000	8	28500001	29000000	0.841	0.969
8:29000001-29500000	8	29000001	29500000	0.869	1.004
8:29500001-30000000	8	29500001	30000000	0.795	1.003
8:30000001-30500000	8	30000001	30500000	0.882	0.949
8:30500001-31000000	8	30500001	31000000	0.735	0.994
8:31000001-31500000	8	31000001	31500000	0.792	0.95
8:31500001-32000000	8	31500001	32000000	0.906	1.005
8:32000001-32500000	8	32000001	32500000	0.798	0.914
8:33500001-34000000	8	33500001	34000000	0.922	0.919
8:34000001-34500000	8	34000001	34500000	0.808	0.947
8:34500001-35000000	8	34500001	35000000	0.833	0.863
8:35000001-35500000	8	35000001	35500000	0.799	0.937
8:35500001-36000000	8	35500001	36000000	1.381	0.923
8:36500001-37000000	8	36500001	37000000	2.038	1.039
8:37000001-37500000	8	37000001	37500000	2.935	0.959
8:37500001-38000000	8	37500001	38000000	2.904	0.916
8:38000001-38500000	8	38000001	38500000	2.475	0.995
8:38500001-39000000	8	38500001	39000000	1.335	0.95
8:39000001-39500000	8	39000001	39500000	1.483	0.947
8:39500001-40000000	8	39500001	40000000	1.29	0.96
8:40500001-41000000	8	40500001	41000000	2.652	1.032
8:41000001-41500000	8	41000001	41500000	2.113	0.907
8:41500001-42000000	8	41500001	42000000	1.647	0.928
8:42000001-42500000	8	42000001	42500000	1.257	0.968
8:42500001-43000000	8	42500001	43000000	1.392	1.068
8:47000001-47500000	8	47000001	47500000	2.092	1.062
8:47500001-48000000	8	47500001	48000000	1.247	0.999
8:48000001-48500000	8	48000001	48500000	1.131	1.159
8:48500001-49000000	8	48500001	49000000	0.988	1.18
8:49000001-49500000	8	49000001	49500000	1.032	0.971
8:49500001-50000000	8	49500001	50000000	0.999	0.999
8:50000001-50500000	8	50000001	50500000	0.935	0.993
8:51000001-51500000	8	51000001	51500000	0.896	0.92
8:51500001-52000000	8	51500001	52000000	0.934	0.928
8:52000001-52500000	8	52000001	52500000	1.204	1.06
8:52500001-53000000	8	52500001	53000000	1.187	0.927
8:53000001-53500000	8	53000001	53500000	1.205	1.051
8:53500001-54000000	8	53500001	54000000	1.157	0.965
8:54000001-54500000	8	54000001	54500000	1.225	0.94
8:54500001-55000000	8	54500001	55000000	1.207	1.072
8:55000001-55500000	8	55000001	55500000	1.222	1.042
8:55500001-56000000	8	55500001	56000000	1.095	0.963
8:56000001-56500000	8	56000001	56500000	1.329	1.064
8:57000001-57500000	8	57000001	57500000	1.225	0.97
8:57500001-58000000	8	57500001	58000000	1.23	0.974
8:58000001-58500000	8	58000001	58500000	1.218	1.04
8:58500001-59000000	8	58500001	59000000	1.329	1.113
8:59000001-59500000	8	59000001	59500000	1.276	1.234
8:59500001-60000000	8	59500001	60000000	1.239	1.052
8:60000001-60500000	8	60000001	60500000	1.295	1.039
8:60500001-61000000	8	60500001	61000000	1.234	0.978
8:61500001-62000000	8	61500001	62000000	1.179	1.078
8:62000001-62500000	8	62000001	62500000	1.177	1.071
8:62500001-63000000	8	62500001	63000000	1.239	0.964
8:63000001-63500000	8	63000001	63500000	1.287	0.967
8:63500001-64000000	8	63500001	64000000	1.273	0.974
8:64000001-64500000	8	64000001	64500000	1.169	1.016
8:64500001-65000000	8	64500001	65000000	1.304	1.039
8:65000001-65500000	8	65000001	65500000	1.299	1.046
8:65500001-66000000	8	65500001	66000000	1.323	0.893
8:66000001-66500000	8	66000001	66500000	1.294	1.003
8:66500001-67000000	8	66500001	67000000	1.202	0.951
8:67000001-67500000	8	67000001	67500000	1.291	1.038
8:68000001-68500000	8	68000001	68500000	1.308	1.116
8:68500001-69000000	8	68500001	69000000	1.2	1.018
8:69500001-70000000	8	69500001	70000000	1.343	0.921
8:70000001-70500000	8	70000001	70500000	1.242	0.904
8:70500001-71000000	8	70500001	71000000	1.314	0.98
8:71000001-71500000	8	71000001	71500000	1.236	0.998
8:71500001-72000000	8	71500001	72000000	1.364	0.941
8:72000001-72500000	8	72000001	72500000	1.149	0.839
8:73000001-73500000	8	73000001	73500000	1.254	0.944
8:73500001-74000000	8	73500001	74000000	1.266	1
8:74000001-74500000	8	74000001	74500000	1.325	1.009
8:75000001-75500000	8	75000001	75500000	1.179	1.113
8:75500001-76000000	8	75500001	76000000	1.259	0.896
8:77000001-77500000	8	77000001	77500000	1.305	1.014
8:77500001-78000000	8	77500001	78000000	1.136	0.935
8:78000001-78500000	8	78000001	78500000	1.211	1.091
8:78500001-79000000	8	78500001	79000000	1.317	1.138
8:79000001-79500000	8	79000001	79500000	1.233	0.924
8:79500001-80000000	8	79500001	80000000	1.202	1.082
8:80000001-80500000	8	80000001	80500000	1.278	1.148
8:80500001-81000000	8	80500001	81000000	1.297	1.022
8:81000001-81500000	8	81000001	81500000	1.47	1.063
8:81500001-82000000	8	81500001	82000000	1.409	0.995
8:82000001-82500000	8	82000001	82500000	1.335	1.078
8:82500001-83000000	8	82500001	83000000	1.209	1.029
8:83000001-83500000	8	83000001	83500000	1.308	0.984
8:83500001-84000000	8	83500001	84000000	1.217	0.957
8:84000001-84500000	8	84000001	84500000	1.437	1.081
8:84500001-85000000	8	84500001	85000000	1.233	0.951
8:85000001-85500000	8	85000001	85500000	1.259	1.024
8:86000001-86500000	8	86000001	86500000	1.303	0.879
8:86500001-87000000	8	86500001	87000000	1.507	0.862
8:87000001-87500000	8	87000001	87500000	1.513	0.942
8:87500001-88000000	8	87500001	88000000	1.431	0.987
8:88000001-88500000	8	88000001	88500000	1.551	0.882
8:88500001-89000000	8	88500001	89000000	1.392	1.023
8:89000001-89500000	8	89000001	89500000	1.292	0.994
8:89500001-90000000	8	89500001	90000000	1.215	1.036
8:90000001-90500000	8	90000001	90500000	1.34	1.048
8:90500001-91000000	8	90500001	91000000	1.326	0.97
8:91000001-91500000	8	91000001	91500000	1.266	1.032
8:91500001-92000000	8	91500001	92000000	1.332	0.993
8:92000001-92500000	8	92000001	92500000	1.29	0.974
8:92500001-93000000	8	92500001	93000000	1.43	1.026
8:93000001-93500000	8	93000001	93500000	1.385	1.051
8:93500001-94000000	8	93500001	94000000	1.47	0.917
8:94000001-94500000	8	94000001	94500000	1.358	0.976
8:94500001-95000000	8	94500001	95000000	1.266	0.883
8:95000001-95500000	8	95000001	95500000	1.407	0.99
8:95500001-96000000	8	95500001	96000000	1.552	0.943
8:96000001-96500000	8	96000001	96500000	1.446	1.022
8:96500001-97000000	8	96500001	97000000	1.425	0.924
8:97000001-97500000	8	97000001	97500000	1.504	1.057
8:98000001-98500000	8	98000001	98500000	1.394	1.024
8:98500001-99000000	8	98500001	99000000	1.485	1.18
8:99500001-100000000	8	99500001	100000000	1.489	1.003
8:100000001-100500000	8	100000001	100500000	1.454	1.134
8:100500001-101000000	8	100500001	101000000	1.271	0.867
8:101000001-101500000	8	101000001	101500000	1.395	1.005
8:101500001-102000000	8	101500001	102000000	1.611	1.053
8:102000001-102500000	8	102000001	102500000	1.497	0.986
8:103500001-104000000	8	103500001	104000000	1.54	1.111
8:104000001-104500000	8	104000001	104500000	1.422	0.984
8:104500001-105000000	8	104500001	105000000	1.476	1.059
8:105000001-105500000	8	105000001	105500000	1.462	1.022
8:105500001-106000000	8	105500001	106000000	1.562	1.035
8:106000001-106500000	8	106000001	106500000	1.478	1.029
8:106500001-107000000	8	106500001	107000000	1.525	1.097
8:107000001-107500000	8	107000001	107500000	1.601	1.164
8:107500001-108000000	8	107500001	108000000	1.431	1.063
8:108000001-108500000	8	108000001	108500000	1.339	1.076
8:109000001-109500000	8	109000001	109500000	1.565	1.071
8:109500001-110000000	8	109500001	110000000	1.409	0.994
8:110000001-110500000	8	110000001	110500000	1.55	0.945
8:111500001-112000000	8	111500001	112000000	1.423	0.942
8:112000001-112500000	8	112000001	112500000	1.526	1.043
8:112500001-113000000	8	112500001	113000000	1.478	0.886
8:113000001-113500000	8	113000001	113500000	1.481	1.092
8:113500001-114000000	8	113500001	114000000	1.42	1.135
8:114000001-114500000	8	114000001	114500000	1.428	1.024
8:114500001-115000000	8	114500001	115000000	1.494	0.977
8:115000001-115500000	8	115000001	115500000	1.398	1.101
8:115500001-116000000	8	115500001	116000000	1.533	1.037
8:116000001-116500000	8	116000001	116500000	1.549	1.053
8:116500001-117000000	8	116500001	117000000	1.476	0.985
8:117000001-117500000	8	117000001	117500000	1.483	0.939
8:117500001-118000000	8	117500001	118000000	1.563	0.965
8:118000001-118500000	8	118000001	118500000	1.372	1.04
8:118500001-119000000	8	118500001	119000000	1.508	1.086
8:119000001-119500000	8	119000001	119500000	1.64	1.093
8:119500001-120000000	8	119500001	120000000	1.41	1.086
8:120500001-121000000	8	120500001	121000000	1.349	1.012
8:121000001-121500000	8	121000001	121500000	1.505	1.108
8:121500001-122000000	8	121500001	122000000	1.603	1.091
8:122000001-122500000	8	122000001	122500000	1.635	1.089
8:122500001-123000000	8	122500001	123000000	1.445	1.043
8:123000001-123500000	8	123000001	123500000	1.452	0.833
8:123500001-124000000	8	123500001	124000000	1.473	0.997
8:124000001-124500000	8	124000001	124500000	1.38	1.132
8:124500001-125000000	8	124500001	125000000	1.392	0.925
8:125000001-125500000	8	125000001	125500000	1.349	0.96
8:125500001-126000000	8	125500001	126000000	1.513	1.013
8:126000001-126500000	8	126000001	126500000	1.392	1.046
8:126500001-127000000	8	126500001	127000000	1.518	0.993
8:128000001-128500000	8	128000001	128500000	1.526	1.175
8:128500001-129000000	8	128500001	129000000	1.543	1.106
8:129000001-129500000	8	129000001	129500000	1.469	1.049
8:129500001-130000000	8	129500001	130000000	1.588	0.969
8:130000001-130500000	8	130000001	130500000	1.354	0.921
8:130500001-131000000	8	130500001	131000000	1.39	0.958
8:131000001-131500000	8	131000001	131500000	1.554	1.008
8:131500001-132000000	8	131500001	132000000	1.505	1.023
8:132000001-132500000	8	132000001	132500000	1.423	1.03
8:132500001-133000000	8	132500001	133000000	1.479	1.074
8:133000001-133500000	8	133000001	133500000	1.402	0.968
8:134000001-134500000	8	134000001	134500000	1.562	1.03
8:134500001-135000000	8	134500001	135000000	1.457	0.947
8:135000001-135500000	8	135000001	135500000	1.467	1.005
8:135500001-136000000	8	135500001	136000000	1.463	0.892
8:136000001-136500000	8	136000001	136500000	1.351	0.963
8:136500001-137000000	8	136500001	137000000	1.391	0.846
8:137000001-137500000	8	137000001	137500000	1.43	1.048
8:137500001-138000000	8	137500001	138000000	1.525	0.96
8:138000001-138500000	8	138000001	138500000	1.507	1.033
8:138500001-139000000	8	138500001	139000000	1.53	1.009
8:139000001-139500000	8	139000001	139500000	1.481	0.974
8:139500001-140000000	8	139500001	140000000	1.415	0.912
8:140000001-140500000	8	140000001	140500000	1.463	1.016
8:140500001-141000000	8	140500001	141000000	1.371	0.992
8:141000001-141500000	8	141000001	141500000	1.425	0.845
8:141500001-142000000	8	141500001	142000000	1.373	0.998
8:142000001-142500000	8	142000001	142500000	1.199	0.876
8:142500001-143000000	8	142500001	143000000	1.532	1.051
8:143000001-143500000	8	143000001	143500000	1.304	0.939
8:143500001-144000000	8	143500001	144000000	1.263	0.901
8:144000001-144500000	8	144000001	144500000	1.376	1.004
8:144500001-145000000	8	144500001	145000000	1.556	0.925
9:500001-1000000	9	500001	1000000	0.951	0.993
9:1000001-1500000	9	1000001	1500000	0.884	0.963
9:1500001-2000000	9	1500001	2000000	1.029	1.029
9:2000001-2500000	9	2000001	2500000	0.903	0.904
9:2500001-3000000	9	2500001	3000000	0.917	0.964
9:3000001-3500000	9	3000001	3500000	0.895	0.982
9:3500001-4000000	9	3500001	4000000	0.924	1.022
9:4000001-4500000	9	4000001	4500000	0.882	1.037
9:4500001-5000000	9	4500001	5000000	0.913	1.025
9:5500001-6000000	9	5500001	6000000	0.903	1.077
9:6000001-6500000	9	6000001	6500000	0.928	1.055
9:6500001-7000000	9	6500001	7000000	0.899	0.956
9:7000001-7500000	9	7000001	7500000	1.007	1.075
9:7500001-8000000	9	7500001	8000000	0.955	1.065
9:8000001-8500000	9	8000001	8500000	0.916	0.963
9:8500001-9000000	9	8500001	9000000	0.92	0.979
9:9000001-9500000	9	9000001	9500000	1.002	0.868
9:10000001-10500000	9	10000001	10500000	0.921	1.043
9:10500001-11000000	9	10500001	11000000	0.88	0.94
9:11000001-11500000	9	11000001	11500000	0.853	0.927
9:11500001-12000000	9	11500001	12000000	0.858	0.966
9:12000001-12500000	9	12000001	12500000	0.887	1
9:12500001-13000000	9	12500001	13000000	1.019	0.955
9:13000001-13500000	9	13000001	13500000	1.055	0.982
9:13500001-14000000	9	13500001	14000000	0.906	0.939
9:14000001-14500000	9	14000001	14500000	0.956	1.106
9:14500001-15000000	9	14500001	15000000	1.009	0.979
9:15000001-15500000	9	15000001	15500000	0.938	0.925
9:16000001-16500000	9	16000001	16500000	0.953	1.045
9:16500001-17000000	9	16500001	17000000	0.809	0.924
9:17000001-17500000	9	17000001	17500000	0.885	1.069
9:17500001-18000000	9	17500001	18000000	0.951	1.059
9:18500001-19000000	9	18500001	19000000	1.015	0.946
9:19000001-19500000	9	19000001	19500000	0.92	0.957
9:19500001-20000000	9	19500001	20000000	0.993	1.094
9:20000001-20500000	9	20000001	20500000	0.976	0.972
9:20500001-21000000	9	20500001	21000000	0.999	1.043
9:21000001-21500000	9	21000001	21500000	0.883	0.944
9:21500001-22000000	9	21500001	22000000	0.895	0.987
9:22000001-22500000	9	22000001	22500000	0.977	0.994
9:22500001-23000000	9	22500001	23000000	0.889	0.917
9:23000001-23500000	9	23000001	23500000	0.965	0.932
9:23500001-24000000	9	23500001	24000000	0.955	0.964
9:24000001-24500000	9	24000001	24500000	0.959	0.945
9:24500001-25000000	9	24500001	25000000	0.997	0.888
9:25000001-25500000	9	25000001	25500000	0.95	0.944
